org_unit,system_id,issn,doi,OA_status_pure,electronic_version,public_access,embargo_date,DOAJ_ISSN_match,VSNU_doi_match,pure_green,algorithm_version,doi_resolver,evidence,free_fulltext_url,is_boai_license,is_free_to_read,is_subscription_journal,license,oa_color,url,OA_label,OA_label_detail,Transfer publication to repository-13,information,title,authors,journal
UMC Utrecht,28137193,0195668X,10.1093/eurheartj/ehy339,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,open (via free pdf),https://academic.oup.com/eurheartj/advance-article-pdf/doi/10.1093/eurheartj/ehy339/25540844/ehy339.pdf,TRUE,TRUE,TRUE,cc-by,bronze,https://doi.org/10.1093/eurheartj/ehy339,HYBRID,HYBRID UPW BRONZE,NA,TRUE,2018 ESC/ESH Guidelines for the management of arterial hypertension,NA,NA
UMC Utrecht,28137392,02636352,10.1097/hjh.0000000000001961,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1097/hjh.0000000000001961,CLOSED,CLOSED,NA,TRUE,2018 Practice Guidelines for the management of arterial hypertension of the European Society of Hypertension and the European Society of Cardiology,NA,NA
UMC Utrecht,28137539,02636352,10.1097/hjh.0000000000001940,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1097/hjh.0000000000001940,CLOSED,CLOSED,NA,TRUE,2018 ESC/ESH Guidelines for the management of arterial hypertension,NA,NA
UMC Utrecht,28170081,NA,10.1016/s2352-4642(18)30113-5,Closed,Final published version,NA,NA,FALSE,FALSE,FALSE,2,crossref,oa repository (via OAI-PMH title and first author match),http://hdl.handle.net/10044/1/60344,FALSE,TRUE,TRUE,cc-by-nc-nd,green,https://doi.org/10.1016/s2352-4642(18)30113-5,GREEN,GREEN UPW,NA,TRUE,Life-threatening infections in children in Europe (the EUCLIDS Project),NA,NA
UMC Utrecht,28220050,23969873,10.1177/2396987318774443,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,open (via free pdf),http://journals.sagepub.com/doi/pdf/10.1177/2396987318774443,FALSE,TRUE,TRUE,NA,bronze,https://doi.org/10.1177/2396987318774443,HYBRID,HYBRID UPW BRONZE,NA,TRUE,Fourth European stroke science workshop,NA,NA
UMC Utrecht,28223487,03057453,10.1093/jac/dky128,Open,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,open (via page says Open Access),https://academic.oup.com/jac/advance-article-pdf/doi/10.1093/jac/dky128/24669569/dky128.pdf,FALSE,TRUE,TRUE,implied-oa,bronze,https://doi.org/10.1093/jac/dky128,HYBRID,HYBRID UPW BRONZE,NA,TRUE,Plasma and CSF pharmacokinetics of meropenem in neonates and young infants,NA,NA
UMC Utrecht,17279080,14439506,10.1016/j.hlc.2017.10.006,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.hlc.2017.10.006,CLOSED,CLOSED,NA,TRUE,Evaluation of Cognitive Function Following Transcatheter Aortic Valve Replacement,NA,NA
UMC Utrecht,25448779,00028614,10.1111/jgs.15600,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1111/jgs.15600,CLOSED,CLOSED,NA,TRUE,Postoperative Delirium in Individuals Undergoing Transcatheter Aortic Valve Replacement,NA,NA
UMC Utrecht,23682626,10935266,10.1177/1093526617697061,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1177/1093526617697061,CLOSED,CLOSED,NA,TRUE,"Growth Restriction, Osteopenia, Placental Massive Perivillous Fibrin Deposition With (or Without) Intervillous Histiocytes and Renal Tubular Dysgenesis—An Emerging Complex",NA,NA
UMC Utrecht,27967163,20451253,10.1177/2045125318762373,Open,"Final published version, Final published version",NA,NA,FALSE,TRUE,FALSE,2,crossref,open (via page says license),http://journals.sagepub.com/doi/pdf/10.1177/2045125318762373,FALSE,TRUE,TRUE,cc-by-nc,bronze,https://doi.org/10.1177/2045125318762373,HYBRID,HYBRID VSNU,NA,TRUE,Predicting rehospitalization in patients treated with antipsychotics,NA,NA
UMC Utrecht,17676068,09254439,10.1016/j.bbadis.2017.11.013,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.bbadis.2017.11.013,CLOSED,CLOSED,NA,TRUE,Evaluation of cardiac energetics by non-invasive 31P magnetic resonance spectroscopy,NA,NA
UMC Utrecht,27892093,00086363,10.1093/cvr/cvy246,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1093/cvr/cvy246,CLOSED,CLOSED,NA,TRUE,Single dose of empagliflozin increases in vivo cardiac energy status in diabetic db/db mice,NA,NA
UMC Utrecht,25218430,19290748,10.2196/resprot.9431,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,oa journal (via doaj),https://doi.org/10.2196/resprot.9431,TRUE,TRUE,FALSE,cc-by,gold,https://doi.org/10.2196/resprot.9431,GOLD,GOLD,NA,TRUE,A Role for New Brain Magnetic Resonance Imaging Modalities in Daily Clinical Practice,NA,NA
UMC Utrecht,18047267,00034975,10.1016/j.athoracsur.2017.10.023,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.athoracsur.2017.10.023,CLOSED,CLOSED,NA,TRUE,Ross-Konno for Interrupted Aortic Arch,NA,NA
UMC Utrecht,24979515,01664328,10.1016/j.bbr.2018.03.004,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.bbr.2018.03.004,CLOSED,CLOSED,NA,TRUE,On the central noradrenergic mechanism underlying the social play-suppressant effect of methylphenidate in rats,NA,NA
UMC Utrecht,11441775,00071048,10.1111/bjh.14495,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1111/bjh.14495,CLOSED,CLOSED,NA,TRUE,Hodgkin lymphoma,NA,NA
UMC Utrecht,25695098,19326203,10.1371/journal.pone.0206286,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,1,crossref,oa journal (via doaj),https://doi.org/10.1371/journal.pone.0206286,TRUE,TRUE,FALSE,cc-by,gold,https://doi.org/10.1371/journal.pone.0206286,GOLD,GOLD,NA,TRUE,Differences in alcohol consumption and drinking patterns in Ghanaians in Europe and Africa,NA,NA
UMC Utrecht,17925953,09310509,10.1093/ndt/gfx347,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1093/ndt/gfx347,CLOSED,CLOSED,NA,TRUE,Chronic kidney disease burden among African migrants in three European countries and in urban and rural Ghana: the RODAM cross-sectional study,NA,NA
UMC Utrecht,25098143,09742069,10.4103/apc.apc_172_16,Indeterminate,Final published version,NA,NA,TRUE,FALSE,FALSE,2,crossref,oa journal (via doaj),https://doi.org/10.4103/apc.apc_172_16,FALSE,TRUE,FALSE,cc-by-nc-sa,gold,https://doi.org/10.4103/apc.apc_172_16,GOLD,GOLD,NA,TRUE,Long-Term outcome of coronary artery dilatation in Kawasaki disease,NA,NA
UMC Utrecht,24987635,00034967,10.1136/annrheumdis-2017-212403,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1136/annrheumdis-2017-212403,CLOSED,CLOSED,NA,TRUE,A20 haploinsufficiency (HA20),NA,NA
UMC Utrecht,17860093,00142980,10.1002/eji.201747195,Open,"Final published version, Final published version",NA,NA,FALSE,TRUE,FALSE,2,crossref,open (via page says license),https://onlinelibrary.wiley.com/doi/pdf/10.1002/eji.201747195,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,https://doi.org/10.1002/eji.201747195,HYBRID,HYBRID VSNU,NA,TRUE,CXCL4 is a novel inducer of human Th17 cells and correlates with IL-17 and IL-22 in psoriatic arthritis,NA,NA
UMC Utrecht,27996991,13611267,10.1080/13611267.2018.1561015,Open,"Final published version, Final published version",NA,NA,FALSE,TRUE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1080/13611267.2018.1561015,HYBRID,HYBRID VSNU,NA,TRUE,Teachers’ diagnosis of students’ research skills during the mentoring of the undergraduate thesis,NA,NA
UMC Utrecht,24435748,00029165,10.1093/ajcn/nqy002,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1093/ajcn/nqy002,CLOSED,CLOSED,NA,TRUE,Inflammatory potential of the diet and risk of gastric cancer in the European Prospective Investigation into Cancer and Nutrition (EPIC) study,NA,NA
UMC Utrecht,16716101,02636352,10.1097/hjh.0000000000001520,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1097/hjh.0000000000001520,CLOSED,CLOSED,NA,TRUE,"Variations in hypertension awareness, treatment, and control among Ghanaian migrants living in Amsterdam, Berlin, London, and nonmigrant Ghanaians living in rural and urban Ghana - the RODAM study",NA,NA
UMC Utrecht,24356499,17427061,10.1016/j.actbio.2017.11.014,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.actbio.2017.11.014,CLOSED,CLOSED,NA,TRUE,Fatigue performance of additively manufactured meta-biomaterials,NA,NA
UMC Utrecht,24976636,00224804,10.1016/j.jss.2018.02.014,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.jss.2018.02.014,CLOSED,CLOSED,NA,TRUE,Sample size of surgical randomized controlled trials,NA,NA
UMC Utrecht,25497330,20507518,10.1039/c8tb01363b,Closed,"Final published version, Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1039/c8tb01363b,CLOSED,CLOSED,NA,TRUE,Direct covalent attachment of silver nanoparticles on radical-rich plasma polymer films for antibacterial applications,NA,NA
UMC Utrecht,25502443,20457022,10.1186/s13601-018-0216-9,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,open (via page says license),https://ctajournal.biomedcentral.com/track/pdf/10.1186/s13601-018-0216-9,TRUE,TRUE,FALSE,cc-by,bronze,https://doi.org/10.1186/s13601-018-0216-9,GOLD,GOLD,NA,TRUE,Protease resistance of food proteins,NA,NA
UMC Utrecht,23638533,20521847,10.1186/s13102-018-0093-5,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,open (via page says license),https://bmcsportsscimedrehabil.biomedcentral.com/track/pdf/10.1186/s13102-018-0093-5,TRUE,TRUE,FALSE,cc-by,bronze,https://doi.org/10.1186/s13102-018-0093-5,GOLD,GOLD,NA,TRUE,Physical activity and sedentary behavior following pediatric burns - a preliminary investigation using objective activity monitoring,NA,NA
UMC Utrecht,24105747,10659471,10.1002/hbm.24076,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1002/hbm.24076,CLOSED,CLOSED,NA,TRUE,Intra- and interobserver agreement for fetal cerebral measurements in 3D-ultrasonography,NA,NA
UMC Utrecht,25696053,20452322,10.1038/s41598-018-33979-7,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,1,crossref,oa journal (via doaj),https://doi.org/10.1038/s41598-018-33979-7,TRUE,TRUE,FALSE,cc-by,gold,https://doi.org/10.1038/s41598-018-33979-7,GOLD,GOLD,NA,TRUE,Chronic kidney failure mineral bone disorder leads to a permanent loss of hematopoietic stem cells through dysfunction of the stem cell niche,NA,NA
UMC Utrecht,24717125,00280836,10.1038/nature25969,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1038/nature25969,CLOSED,CLOSED,NA,TRUE,Whole-organism clone tracing using single-cell sequencing,NA,NA
UMC Utrecht,28190783,10614036,10.1038/s41588-018-0161-5,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1038/s41588-018-0161-5,CLOSED,CLOSED,NA,TRUE,Enhancer hubs and loop collisions identified from single-allele topologies,NA,NA
UMC Utrecht,24362889,05867614,10.1093/schbul/sbx169,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,oa repository (via OAI-PMH doi match),https://kclpure.kcl.ac.uk/portal/files/84192124/Allen_et_al_2017_Schizophr_Bulletin_PREPRINT.pdf,FALSE,TRUE,TRUE,NA,green,https://doi.org/10.1093/schbul/sbx169,GREEN,GREEN UPW,NA,TRUE,Increased Resting Hippocampal and Basal Ganglia Perfusion in People at Ultra High Risk for Psychosis,NA,NA
UMC Utrecht,25795235,17561833,10.1136/bmj.k4469,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1136/bmj.k4469,CLOSED,CLOSED,NA,TRUE,Unfulfilled potential of primary care in Europe,NA,NA
UMC Utrecht,24709425,19326203,10.1371/journal.pone.0199095,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,open (via page says license),http://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0199095&type=printable,TRUE,TRUE,FALSE,cc-by,bronze,https://doi.org/10.1371/journal.pone.0199095,GOLD,GOLD,NA,TRUE,Environmental impact of switching from the synthetic glucocorticoid prednisolone to the natural alkaloid berberine,NA,NA
UMC Utrecht,17796663,10523057,10.1016/j.jstrokecerebrovasdis.2017.11.016,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1016/j.jstrokecerebrovasdis.2017.11.016,CLOSED,CLOSED,NA,TRUE,"Yield of Computed Tomography (CT) Angiography in Patients with Acute Headache, Normal Neurological Examination, and Normal Non Contrast CT",NA,NA
UMC Utrecht,24349805,21623279,10.1002/brb3.997,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,open (via page says license),https://onlinelibrary.wiley.com/doi/pdf/10.1002/brb3.997,TRUE,TRUE,FALSE,cc-by,bronze,https://doi.org/10.1002/brb3.997,GOLD,GOLD,NA,TRUE,Prediction of vascular abnormalities on CT angiography in patients with acute headache,NA,NA
UMC Utrecht,25965279,20721439,10.21037/jtd.2018.08.17,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,1,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.21037/jtd.2018.08.17,CLOSED,CLOSED,NA,TRUE,Novel insights into the effects of cigarette smoke on the airway epithelial surface-lessons learned at the European Respiratory Society International Congress 2018 in Paris,NA,NA
UMC Utrecht,25965351,03666999,10.4103/0366-6999.230743,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,oa journal (via doaj),https://doi.org/10.4103/0366-6999.230743,FALSE,TRUE,FALSE,cc-by-nc-sa,gold,https://doi.org/10.4103/0366-6999.230743,GOLD,GOLD,NA,TRUE,Airway Epithelial Cell Function and Respiratory Host Defense in Chronic Obstructive Pulmonary Disease,NA,NA
UMC Utrecht,24345123,1774024X,10.4244/eij-d-17-00737,Indeterminate,Final published version,NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.4244/eij-d-17-00737,CLOSED,CLOSED,NA,TRUE,Intracardiac shunts following transcatheter aortic valve implantation: a multicentre study,NA,NA
UMC Utrecht,17823231,15228517,10.1093/neuonc/nox163,Open,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,open (via page says Open Access),https://academic.oup.com/neuro-oncology/article-pdf/20/3/420/24001713/nox163.pdf,FALSE,TRUE,TRUE,implied-oa,bronze,https://doi.org/10.1093/neuonc/nox163,HYBRID,HYBRID UPW BRONZE,NA,TRUE,Long-term Exposure to Ambient Air Pollution and Incidence of Brain Tumor,NA,NA
UMC Utrecht,18545934,18739946,10.1093/ecco-jcc/jjx136,Open,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,open (via page says Open Access),https://academic.oup.com/ecco-jcc/article-pdf/12/2/129/24365646/jjx136.pdf,FALSE,TRUE,TRUE,implied-oa,bronze,https://doi.org/10.1093/ecco-jcc/jjx136,HYBRID,HYBRID UPW BRONZE,NA,TRUE,Fibre intake and the development of inflammatory bowel disease,NA,NA
UMC Utrecht,24547647,09696970,10.1007/s10456-017-9585-2,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,oa repository (via OAI-PMH title and first author match),http://spiral.imperial.ac.uk/bitstream/10044/1/57935/2/HHT%20Conference%20Summary%20-%20FINAL.pdf,FALSE,TRUE,TRUE,NA,green,https://doi.org/10.1007/s10456-017-9585-2,GREEN,GREEN UPW,NA,TRUE,Executive summary of the 12th HHT international scientific conference,NA,NA
UMC Utrecht,16527290,07403194,10.1002/mrm.26775,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1002/mrm.26775,CLOSED,CLOSED,NA,TRUE,Respiratory motion model based on the noise covariance matrix of a receive array,NA,NA
UMC Utrecht,25044043,14786354,10.1186/s13075-018-1638-4,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,open (via page says license),https://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-018-1638-4,TRUE,TRUE,TRUE,cc-by,bronze,https://doi.org/10.1186/s13075-018-1638-4,GOLD,GOLD,NA,TRUE,Control of cytokine mRNA degradation by the histone deacetylase inhibitor ITF2357 in rheumatoid arthritis fibroblast-like synoviocytes,NA,NA
UMC Utrecht,27877396,08926638,10.1096/fj.201700722r,Closed,"Final published version, Final published version",NA,NA,FALSE,FALSE,FALSE,2,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,https://doi.org/10.1096/fj.201700722r,CLOSED,CLOSED,NA,TRUE,Deregulation of Hippo-TAZ pathway during renal injury confers a fibrotic maladaptive phenotype,NA,NA
UMC Utrecht,25965469,00282162,NA,Closed,Final published version,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CLOSED,CLOSED,NA,FALSE,Algemene verordening gegevensbescherming,NA,NA
UMC Utrecht,25155835,20452322,10.1038/s41598-018-31035-y,Open,"Final published version, Final published version",NA,NA,TRUE,FALSE,FALSE,2,crossref,oa journal (via doaj),https://doi.org/10.1038/s41598-018-31035-y,TRUE,TRUE,FALSE,cc-by,gold,https://doi.org/10.1038/s41598-018-31035-y,GOLD,GOLD,NA,TRUE,Regional variations in stiffness in live mouse brain tissue determined by depth-controlled indentation mapping,NA,NA
