Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Imamutdinova A., Kuvshinov N., Andreeva E., Venidiktova E.","56707345600;57192410889;57211760526;56705651300;","International Relations at the Beginning of the XX Century in the Works of Vladimir Mikhailovich Khvostov",2019,"Journal of Educational and Social Research","9","4",,"218","221",,,"10.2478/jesr-2019-0074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074956833&doi=10.2478%2fjesr-2019-0074&partnerID=40&md5=67d7dcaaed2da8735236dbade25d07a0","Kazan Federal University, Russian Federation; Kazan State Power Engineering Universities, Russian Federation","Imamutdinova, A., Kazan Federal University, Russian Federation; Kuvshinov, N., Kazan State Power Engineering Universities, Russian Federation; Andreeva, E., Kazan Federal University, Russian Federation; Venidiktova, E., Kazan Federal University, Russian Federation","Imamutdinova, A.; Kazan Federal UniversityRussian Federation",,"Sciendo",2239978X,,,,"English","J. Edu. Soc. Res.",Article,"Final",Open Access,Scopus,2-s2.0-85074956833
"Greene L.K., Bornbusch S.L., McKenney E.A., Harris R.L., Gorvetzian S.R., Yoder A.D., Drea C.M.","55914182900;57201194504;56643121000;56241524800;57211630175;7004246852;7004253599;","The importance of scale in comparative microbiome research: New insights from the gut and glands of captive and wild lemurs",2019,"American Journal of Primatology","81","10-11", e22974,"","",,2,"10.1002/ajp.22974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072800037&doi=10.1002%2fajp.22974&partnerID=40&md5=8600ee0fc8c0d0c849551ada1e6c87ca","Duke University Program in Ecology, Duke University, Durham, NC, United States; Department of Evolutionary Anthropology, Duke University, Durham, NC, United States; Primate Microbiome Project, Minneapolis, MN, United States; Department of Applied Ecology, North Carolina State University, Raleigh, NC, United States; North Carolina Museum of Natural Sciences, Raleigh, NC, United States; Department of Biology, Duke University, Durham, NC, United States","Greene, L.K., Duke University Program in Ecology, Duke University, Durham, NC, United States, Department of Evolutionary Anthropology, Duke University, Durham, NC, United States, Primate Microbiome Project, Minneapolis, MN, United States; Bornbusch, S.L., Department of Evolutionary Anthropology, Duke University, Durham, NC, United States; McKenney, E.A., Department of Applied Ecology, North Carolina State University, Raleigh, NC, United States, North Carolina Museum of Natural Sciences, Raleigh, NC, United States; Harris, R.L., Department of Evolutionary Anthropology, Duke University, Durham, NC, United States; Gorvetzian, S.R., Department of Evolutionary Anthropology, Duke University, Durham, NC, United States; Yoder, A.D., Department of Biology, Duke University, Durham, NC, United States; Drea, C.M., Duke University Program in Ecology, Duke University, Durham, NC, United States, Department of Evolutionary Anthropology, Duke University, Durham, NC, United States, Department of Biology, Duke University, Durham, NC, United States","Greene, L.K.; Duke University Program in Ecology, Duke UniversityUnited States; email: lydiakgreene@gmail.com",,"John Wiley and Sons Inc.",02752565,,AJPTD,"30932230","English","Am. J. Primatol.",Review,"Final",,Scopus,2-s2.0-85072800037
"Chen J., Vermander B.","57211510867;26325988800;","Rituals, spacetime and family in a “Native” community of north Shanghai",2019,"Religions","10","10", 582,"","",,,"10.3390/rel10100582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074234126&doi=10.3390%2frel10100582&partnerID=40&md5=be7b297dd1c4e023ee335ee818d9ab9c","Department of Religious Studies, School of Philosophy, Fudan University, 220 Handan Road, Shanghai, 200433, China","Chen, J., Department of Religious Studies, School of Philosophy, Fudan University, 220 Handan Road, Shanghai, 200433, China; Vermander, B., Department of Religious Studies, School of Philosophy, Fudan University, 220 Handan Road, Shanghai, 200433, China","Chen, J.; Department of Religious Studies, School of Philosophy, Fudan University, 220 Handan Road, China; email: jiarenchen@fudan.edu.cn",,"MDPI AG",20771444,,,,"English","Religions",Article,"Final",Open Access,Scopus,2-s2.0-85074234126
"Yayla M., Toma A., Chen K.-H., Lenssen J.E., Shpacovitch V., Hergenröder R., Weichert F., Chen J.-J.","57203239315;55734403600;57188573189;57193505421;6507599578;55903363700;8708701900;7501899944;","Nanoparticle classification using frequency domain analysis on resource-limited platforms",2019,"Sensors (Switzerland)","19","19", 4138,"","",,,"10.3390/s19194138","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072674715&doi=10.3390%2fs19194138&partnerID=40&md5=8548f6e4925cb6818d9a4f5dbf03d0f6","Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Dortmund, 44227, Germany; Computer Engineering Department, An-Najah National University, P.O. Box 7, Nablus, Palestine; Biomedical Research Department, Leibniz Institute for Analytical Sciences, ISAS e.V, Bunsen-Kirchhoff-Straße 11, Dortmund, 44139, Germany","Yayla, M., Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Dortmund, 44227, Germany; Toma, A., Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Dortmund, 44227, Germany, Computer Engineering Department, An-Najah National University, P.O. Box 7, Nablus, Palestine; Chen, K.-H., Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Dortmund, 44227, Germany; Lenssen, J.E., Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Dortmund, 44227, Germany; Shpacovitch, V., Biomedical Research Department, Leibniz Institute for Analytical Sciences, ISAS e.V, Bunsen-Kirchhoff-Straße 11, Dortmund, 44139, Germany; Hergenröder, R., Biomedical Research Department, Leibniz Institute for Analytical Sciences, ISAS e.V, Bunsen-Kirchhoff-Straße 11, Dortmund, 44139, Germany; Weichert, F., Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Dortmund, 44227, Germany; Chen, J.-J., Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Dortmund, 44227, Germany","Yayla, M.; Department of Computer Science, TU Dortmund University, Otto-Hahn-Str. 16, Germany; email: mikail.yayla@tu-dortmund.de",,"MDPI AG",14248220,,,"31554304","English","Sensors",Article,"Final",Open Access,Scopus,2-s2.0-85072674715
"Brisbois B.W., Spiegel J.M., Harris L.","36645552200;7102655625;57214064628;","Health, environment and colonial legacies: Situating the science of pesticides, bananas and bodies in Ecuador",2019,"Social Science and Medicine","239",, 112529,"","",,,"10.1016/j.socscimed.2019.112529","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072517619&doi=10.1016%2fj.socscimed.2019.112529&partnerID=40&md5=27ec366d069fcd162eedc48117d98ecb","University of Northern British Columbia, Canada; University of British Columbia, Canada","Brisbois, B.W., University of Northern British Columbia, Canada; Spiegel, J.M., University of British Columbia, Canada; Harris, L., University of British Columbia, Canada","Brisbois, B.W.; University of Northern British Columbia, 3654 County Road 3 Carrying Place, Canada; email: bwbrisbois@alumni.ubc.ca",,"Elsevier Ltd",02779536,,SSMDE,"31561208","English","Soc. Sci. Med.",Article,"Final",Open Access,Scopus,2-s2.0-85072517619
"Arlet M., Veromann-Jürgenson L.-L., Isbell L., Mänd R., Lemasson A.","18433506300;57194441983;7004591528;6603777717;6507581563;","Maternal Care in Free-Ranging Arboreal Grey-Cheeked Mangabeys (Lophocebus albigena johnstoni) in Kibale National Park, Uganda",2019,"Folia Primatologica","90","6",,"441","455",,,"10.1159/000499656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068512511&doi=10.1159%2f000499656&partnerID=40&md5=975a2f26435152bc0f44d9103af4261f","Department of Human Evolutionary Biology, Institute of Anthropology, Adam Mickiewicz University in Poznań, Umułtowska 89, Poznań, PL-60-694, Poland; Estonian University of Life Sciences, Tartu, Estonia; Department of Anthropology and Animal Behaviour Graduate Group, University of California, Davis, CA, United States; Department of Zoology, Institute of Ecology and Earth Sciences, University of Tartu, Tartu, Estonia; Ethologie Animale et Humaine, CNRS, Université de Rennes, Université de Caen Normandie, Paimpont, France","Arlet, M., Department of Human Evolutionary Biology, Institute of Anthropology, Adam Mickiewicz University in Poznań, Umułtowska 89, Poznań, PL-60-694, Poland; Veromann-Jürgenson, L.-L., Estonian University of Life Sciences, Tartu, Estonia; Isbell, L., Department of Anthropology and Animal Behaviour Graduate Group, University of California, Davis, CA, United States; Mänd, R., Department of Zoology, Institute of Ecology and Earth Sciences, University of Tartu, Tartu, Estonia; Lemasson, A., Ethologie Animale et Humaine, CNRS, Université de Rennes, Université de Caen Normandie, Paimpont, France","Arlet, M.; Department of Human Evolutionary Biology, Institute of Anthropology, Adam Mickiewicz University in Poznań, Umułtowska 89, Poland; email: malarl@amu.edu.pl",,"S. Karger AG",00155713,,FPRMA,"31230043","English","Folia Primatol.",Article,"Final",,Scopus,2-s2.0-85068512511
"Sharifi A.","55203967900;","A critical review of selected smart city assessment tools and indicator sets",2019,"Journal of Cleaner Production","233",,,"1269","1283",,4,"10.1016/j.jclepro.2019.06.172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067563612&doi=10.1016%2fj.jclepro.2019.06.172&partnerID=40&md5=4b26a498ed4c23369879d55ba082c6b8","Hiroshima University, 1-3-1 Kagamiyama, Higashi-Hiroshima, Hiroshima, 739-8530, Japan","Sharifi, A., Hiroshima University, 1-3-1 Kagamiyama, Higashi-Hiroshima, Hiroshima, 739-8530, Japan",,,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Article,"Final",,Scopus,2-s2.0-85067563612
"Offenhuber D.","26427759500;","The platform and the bricoleur—Improvisation and smart city initiatives in Indonesia",2019,"Environment and Planning B: Urban Analytics and City Science","46","8",,"1565","1580",,,"10.1177/2399808319865749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074209200&doi=10.1177%2f2399808319865749&partnerID=40&md5=3fe8459512a86fa50bfdf08df49f7eae","Northeastern University, United States","Offenhuber, D., Northeastern University, United States","Offenhuber, D.; Northeastern UniversityUnited States; email: d.offenhuber@northeastern.edu",,"SAGE Publications Ltd",23998083,,,,"English","Environ. Plann.",Article,"Final",,Scopus,2-s2.0-85074209200
"Yannopoulos S., Giannopoulou I., Kaiafa-Saropoulou M.","7003748851;57211540455;57195225353;","Investigation of the current situation and prospects for the development of rainwater harvesting as a tool to confront water scarcity worldwide",2019,"Water (Switzerland)","11","10", 2168,"","",,,"10.3390/w11102168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074352315&doi=10.3390%2fw11102168&partnerID=40&md5=5cc302934ef340b8c0730048130c1990","Faculty of Engineering, School of Rural and Surveying Engineering, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece; Alamanas 29A, Kalamaria, Thessaloniki, GR-55132, Greece; School of Architecture, Aristotle University, Thessaloniki, GR-54124, Greece","Yannopoulos, S., Faculty of Engineering, School of Rural and Surveying Engineering, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece; Giannopoulou, I., Alamanas 29A, Kalamaria, Thessaloniki, GR-55132, Greece; Kaiafa-Saropoulou, M., School of Architecture, Aristotle University, Thessaloniki, GR-54124, Greece","Yannopoulos, S.; Faculty of Engineering, School of Rural and Surveying Engineering, Aristotle University of ThessalonikiGreece; email: giann@vergina.eng.auth.gr",,"MDPI AG",20734441,,,,"English","Water",Review,"Final",Open Access,Scopus,2-s2.0-85074352315
"Wang F.-T., Liu S.-T., Cheng B.-D., Jiang Q.-E., Tian Y., Xiong L.-C.","57194391324;57211018636;55419654300;57202008922;57211024018;57211022601;","How can intra-industry trade of forest products be promoted? An empirical analysis from China",2019,"Forests","10","10", 882,"","",,,"10.3390/f10100882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073449876&doi=10.3390%2ff10100882&partnerID=40&md5=7fbdff2dfd62ea8df146fbddee5b21c7","National Agricultural and Rural Development Research Institute, China Agricultural University, Beijing, 100083, China; School of Economics and Management, Beijing Forestry University, Beijing, 100083, China; College of Economics and Management, Zhejiang A and F University, Hangzhou, 311300, China; Center for Farmer's Development Research, Zhejiang A and F University, Hangzhou, 311300, China; Business College, Beijing Union University, Beijing, 100025, China","Wang, F.-T., National Agricultural and Rural Development Research Institute, China Agricultural University, Beijing, 100083, China; Liu, S.-T., School of Economics and Management, Beijing Forestry University, Beijing, 100083, China; Cheng, B.-D., School of Economics and Management, Beijing Forestry University, Beijing, 100083, China; Jiang, Q.-E., College of Economics and Management, Zhejiang A and F University, Hangzhou, 311300, China, Center for Farmer's Development Research, Zhejiang A and F University, Hangzhou, 311300, China; Tian, Y., Business College, Beijing Union University, Beijing, 100025, China; Xiong, L.-C., College of Economics and Management, Zhejiang A and F University, Hangzhou, 311300, China, Center for Farmer's Development Research, Zhejiang A and F University, Hangzhou, 311300, China","Tian, Y.; Business College, Beijing Union UniversityChina; email: yuan.tian@buu.edu.cn",,"MDPI AG",19994907,,,,"English","Forests",Article,"Final",Open Access,Scopus,2-s2.0-85073449876
"Aoki K.","35402326800;","Cultural bistability and connectedness in a subdivided population",2019,"Theoretical Population Biology","129",,,"103","117",,,"10.1016/j.tpb.2019.03.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065222991&doi=10.1016%2fj.tpb.2019.03.009&partnerID=40&md5=537c70cdc8218adb0e1b1bea791ffd98","Organization for the Strategic Coordination of Research and Intellectual Properties, Meiji University, 4-21-1, Nakano-ku, NakanoTokyo, 164-8525, Japan","Aoki, K., Organization for the Strategic Coordination of Research and Intellectual Properties, Meiji University, 4-21-1, Nakano-ku, NakanoTokyo, 164-8525, Japan",,,"Academic Press Inc.",00405809,,TLPBA,"31026468","English","Theor. Popul. Biol.",Article,"Final",Open Access,Scopus,2-s2.0-85065222991
"Li G., Chen C., Geng C., Li M., Xu H., Lin Y.","56040326700;57211070317;56704475400;56804068000;55493789800;55960684600;","A pheromone-inspired monitoring strategy using a swarm of underwater robots",2019,"Sensors (Switzerland)","19","19", 4089,"","",,,"10.3390/s19194089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072575993&doi=10.3390%2fs19194089&partnerID=40&md5=9cac3e46019b82ddc22e41d33acd45a4","State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, 110016, China; Institutes for Robotics and Intelligent Manufacturing, Chinese Academy of Sciences, Shenyang, 110016, China; University of Chinese Academy of Sciences, Beijing, 100049, China; Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences (CAS), Shenzhen, 518055, China; School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China; The School of Information and Science Technology, Zhejiang Sci-Tech University (ZSTU), Hangzhou, 310018, China","Li, G., State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, 110016, China, Institutes for Robotics and Intelligent Manufacturing, Chinese Academy of Sciences, Shenyang, 110016, China, University of Chinese Academy of Sciences, Beijing, 100049, China; Chen, C., Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences (CAS), Shenzhen, 518055, China; Geng, C., State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, 110016, China, Institutes for Robotics and Intelligent Manufacturing, Chinese Academy of Sciences, Shenyang, 110016, China, School of Information Science and Engineering, Northeastern University, Shenyang, 110819, China; Li, M., The School of Information and Science Technology, Zhejiang Sci-Tech University (ZSTU), Hangzhou, 310018, China; Xu, H., State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, 110016, China, Institutes for Robotics and Intelligent Manufacturing, Chinese Academy of Sciences, Shenyang, 110016, China; Lin, Y., State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, 110016, China, Institutes for Robotics and Intelligent Manufacturing, Chinese Academy of Sciences, Shenyang, 110016, China","Chen, C.; Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences (CAS)China; email: chao.chen@siat.ac.cn",,"MDPI AG",14248220,,,"31546655","English","Sensors",Article,"Final",Open Access,Scopus,2-s2.0-85072575993
"Hesmondhalgh D., Lobato R.","9334532400;36170810800;","Television device ecologies, prominence and datafication: the neglected importance of the set-top box",2019,"Media, Culture and Society","41","7",,"958","974",,,"10.1177/0163443719857615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071572107&doi=10.1177%2f0163443719857615&partnerID=40&md5=3c915c9ffe8bd56557b86113f818744b","University of Leeds, United Kingdom; RMIT University, Australia","Hesmondhalgh, D., University of Leeds, United Kingdom; Lobato, R., RMIT University, Australia","Hesmondhalgh, D.; University of LeedsUnited Kingdom; email: d.j.hesmondhalgh@leeds.ac.uk",,"SAGE Publications Ltd",01634437,,,,"English","Media Cult. Soc.",Article,"Final",Open Access,Scopus,2-s2.0-85071572107
"Bao J., Gao S., Ge J.","57125394400;7403257749;57204979024;","Salt and Wetland: Traditional Development Landscape, Land Use Changes and Environmental Adaptation on the Central Jiangsu Coast, China, 1450–1900",2019,"Wetlands","39","5",,"1089","1102",,1,"10.1007/s13157-019-01144-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065144191&doi=10.1007%2fs13157-019-01144-z&partnerID=40&md5=7a9fbf221871a114944a4203d4a1731e","Institute of Chinese Historical Geography, Fudan University, Shanghai, 200433, China; State Key Laboratory of Estuarine and Coastal Research, East China Normal University, Shanghai, 200241, China","Bao, J., Institute of Chinese Historical Geography, Fudan University, Shanghai, 200433, China; Gao, S., State Key Laboratory of Estuarine and Coastal Research, East China Normal University, Shanghai, 200241, China; Ge, J., Institute of Chinese Historical Geography, Fudan University, Shanghai, 200433, China","Gao, S.; State Key Laboratory of Estuarine and Coastal Research, East China Normal UniversityChina; email: sgao@sklec.ecnu.edu.cn",,"Springer",02775212,,,,"English","Wetlands",Article,"Final",,Scopus,2-s2.0-85065144191
"Gao L., Hwang Y., Cao T.","57207875538;7402311344;56241286400;","An overview of optimization technologies applied in combined cooling, heating and power systems",2019,"Renewable and Sustainable Energy Reviews","114",, 109344,"","",,1,"10.1016/j.rser.2019.109344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071313286&doi=10.1016%2fj.rser.2019.109344&partnerID=40&md5=b4045ae7145e711b039f7296fc9468a1","Center for Environmental Energy Engineering, Department of Mechanical Engineering, University of Maryland, 4164 Glenn Martin Hall Bldg., College Park, MD  20742, United States","Gao, L., Center for Environmental Energy Engineering, Department of Mechanical Engineering, University of Maryland, 4164 Glenn Martin Hall Bldg., College Park, MD  20742, United States; Hwang, Y., Center for Environmental Energy Engineering, Department of Mechanical Engineering, University of Maryland, 4164 Glenn Martin Hall Bldg., College Park, MD  20742, United States; Cao, T., Center for Environmental Energy Engineering, Department of Mechanical Engineering, University of Maryland, 4164 Glenn Martin Hall Bldg., College Park, MD  20742, United States","Hwang, Y.; Center for Environmental Energy Engineering, Department of Mechanical Engineering, University of Maryland, 4164 Glenn Martin Hall Bldg., United States; email: yhhwang@umd.edu",,"Elsevier Ltd",13640321,,RSERF,,"English","Renewable Sustainable Energy Rev",Article,"Final",,Scopus,2-s2.0-85071313286
"Rosales A.","55826475000;","Statization and denationalization dynamics in Venezuela's artisanal and small scale-large-scale mining interface",2019,"Resources Policy","63",, 101422,"","",,,"10.1016/j.resourpol.2019.101422","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066963267&doi=10.1016%2fj.resourpol.2019.101422&partnerID=40&md5=96eecc7d1a7fd6537cbcb17954b75bd5","University of Oslo, Centre for Development and the Environment, Address:P.O. Box 1116, Blindern, OSLO, 0317, Norway","Rosales, A., University of Oslo, Centre for Development and the Environment, Address:P.O. Box 1116, Blindern, OSLO, 0317, Norway",,,"Elsevier Ltd",03014207,,,,"English","Resour. Policy",Article,"Final",Open Access,Scopus,2-s2.0-85066963267
"Martínez-Serrano P., Pedraz-Marcos A., Solís-Muñoz M., Palmar-Santos A.M.","57203576451;55307995000;6507346187;56669737300;","The experience of mothers and fathers in cases of stillbirth in Spain. A qualitative study",2019,"Midwifery","77",,,"37","44",,,"10.1016/j.midw.2019.06.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067882484&doi=10.1016%2fj.midw.2019.06.013&partnerID=40&md5=b01fefa11da3aca47b493c92904c10af","Obstetric and Ginecology Service, Puerta de Hierro Majadahonda University Hospital, C/ Joaquín Rodrigo, 2, Majadahonda (Madrid), Madrid  28222, Spain; Faculty of Medicine, University Autonoma of Madrid, C/ Arzobispo Morcillo n° 4, Madrid, 28029, Spain; Nursing and Healthcare, Research Area, Puerta de Hierro Majadahonda University Hospital, C/ Joaquín Rodrigo, 2, Majadahonda (Madrid), 28222, Spain","Martínez-Serrano, P., Obstetric and Ginecology Service, Puerta de Hierro Majadahonda University Hospital, C/ Joaquín Rodrigo, 2, Majadahonda (Madrid), Madrid  28222, Spain; Pedraz-Marcos, A., Faculty of Medicine, University Autonoma of Madrid, C/ Arzobispo Morcillo n° 4, Madrid, 28029, Spain; Solís-Muñoz, M., Nursing and Healthcare, Research Area, Puerta de Hierro Majadahonda University Hospital, C/ Joaquín Rodrigo, 2, Majadahonda (Madrid), 28222, Spain; Palmar-Santos, A.M., Faculty of Medicine, University Autonoma of Madrid, C/ Arzobispo Morcillo n° 4, Madrid, 28029, Spain","Martínez-Serrano, P.; Unidad Docente de Matronas de la Comunidad de Madrid, Paseo de la Castellana n° 261, Edificio Norte, Spain; email: mpaloma.martinez@salud.madrid.org",,"Churchill Livingstone",02666138,,MIDWE,"31254962","English","Midwifery",Article,"Final",,Scopus,2-s2.0-85067882484
"Chappe R., Semmler W.","55355647300;35611527900;","Financial Market as Driver for Disparity in Wealth Accumulation—A Receding Horizon Approach",2019,"Computational Economics","54","3",,"1231","1261",,,"10.1007/s10614-018-9870-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058117211&doi=10.1007%2fs10614-018-9870-1&partnerID=40&md5=e49a34062a5f5aad5bccbf99b59c0785","The New School For Social Research, New York, United States","Chappe, R., The New School For Social Research, New York, United States; Semmler, W., The New School For Social Research, New York, United States","Semmler, W.; The New School For Social ResearchUnited States; email: semmlerw@newschool.edu",,"Springer New York LLC",09277099,,,,"English","Comput. Econ.",Article,"Final",,Scopus,2-s2.0-85058117211
"Arakelyan M., Harutyunyan T., Aghayan S.A., Carretero M.A.","6602229233;57211011784;57202646096;7006690868;","Infection of parthenogenetic lizards by blood parasites does not support the “Red Queen hypothesis” but reveals the costs of sex",2019,"Zoology","136",, 125709,"","",,,"10.1016/j.zool.2019.125709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072253316&doi=10.1016%2fj.zool.2019.125709&partnerID=40&md5=bab00647b35d43b1f6a5b3981876d75c","Faculty of Biology, Yerevan State University, Alek Manoogian 1, Yerevan, 0025, Armenia; Scientific Center of Zoology and Hydroecology, Sevak str 7, Yerevan, 0014, Armenia; CIBIO Research Centre in Biodiversity and Genetic Resources, InBIO, Universidade do Porto, Campus de Vairão, Rua Padre Armando Quintas, Nº7, Vila do Conde, Vairão, 4485-661, Portugal","Arakelyan, M., Faculty of Biology, Yerevan State University, Alek Manoogian 1, Yerevan, 0025, Armenia; Harutyunyan, T., Faculty of Biology, Yerevan State University, Alek Manoogian 1, Yerevan, 0025, Armenia; Aghayan, S.A., Faculty of Biology, Yerevan State University, Alek Manoogian 1, Yerevan, 0025, Armenia, Scientific Center of Zoology and Hydroecology, Sevak str 7, Yerevan, 0014, Armenia; Carretero, M.A., CIBIO Research Centre in Biodiversity and Genetic Resources, InBIO, Universidade do Porto, Campus de Vairão, Rua Padre Armando Quintas, Nº7, Vila do Conde, Vairão, 4485-661, Portugal","Arakelyan, M.; Faculty of Biology, Yerevan State University, Alek Manoogian 1, Armenia; email: arakelyanmarine@ysu.am",,"Elsevier GmbH",09442006,,,"31539860","English","Zoology",Article,"Final",,Scopus,2-s2.0-85072253316
"Shipunova O.D., Berezovskaya I.P.","56426509300;57200221952;","Organization technology of professional interactions in the engineering environments",2019,"International Journal of Civil Engineering and Technology","9","10",,"2020","2028",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065053881&partnerID=40&md5=fc7046f70f9deb2f64d54a310f07c279","Higher School of Social Sciences, Peter the Great St. Petersburg Polytechnic University, St. Petersburg, Russian Federation","Shipunova, O.D., Higher School of Social Sciences, Peter the Great St. Petersburg Polytechnic University, St. Petersburg, Russian Federation; Berezovskaya, I.P., Higher School of Social Sciences, Peter the Great St. Petersburg Polytechnic University, St. Petersburg, Russian Federation",,,"IAEME Publication",09766308,,,,"English","Int.J. Civ. Eng. Technol.",Article,"Final",,Scopus,2-s2.0-85065053881
"Pâquet M., Vaillancourt-Morel M.-P., Jodouin J.-F., Steben M., Bergeron S.","56642487000;55964400300;57203955658;57210774728;7004197532;","Pain Trajectories and Predictors: A 7-Year Longitudinal Study of Women With Vulvodynia",2019,"Journal of Sexual Medicine","16","10",,"1606","1614",,1,"10.1016/j.jsxm.2019.07.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071088551&doi=10.1016%2fj.jsxm.2019.07.018&partnerID=40&md5=5e754817732d781ef8cfa2a98a1041ad","Department of Psychology, Université de Montréal, Montréal, Quebec, Canada; Department of Social and Preventive Medicine, Université de Montréal, Montréal, Quebec, Canada","Pâquet, M., Department of Psychology, Université de Montréal, Montréal, Quebec, Canada; Vaillancourt-Morel, M.-P., Department of Psychology, Université de Montréal, Montréal, Quebec, Canada; Jodouin, J.-F., Department of Psychology, Université de Montréal, Montréal, Quebec, Canada; Steben, M., Department of Social and Preventive Medicine, Université de Montréal, Montréal, Quebec, Canada; Bergeron, S., Department of Psychology, Université de Montréal, Montréal, Quebec, Canada","Pâquet, M.; Department of Psychology, Université de Montréal, Pavillon Marie-Victorin, C. P. 6128 succursale Centreville, Canada; email: myriam.paquet@umontreal.ca",,"Elsevier B.V.",17436095,,,"31451398","English","J. Sex. Med.",Article,"Final",,Scopus,2-s2.0-85071088551
"Pang R., Zhang X.","57200522022;55604838800;","Achieving environmental sustainability in manufacture: A 28-year bibliometric cartography of green manufacturing research",2019,"Journal of Cleaner Production","233",,,"84","99",,1,"10.1016/j.jclepro.2019.05.303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067818661&doi=10.1016%2fj.jclepro.2019.05.303&partnerID=40&md5=f546d27382cbb22d70b1ae01f568e8d1","School of Economics and Management, University of Chinese Academy of Sciences, China; Department of Public Policy, Shenzhen Research Insitute, City University of Hong Kong, Shenzhen, China","Pang, R., School of Economics and Management, University of Chinese Academy of Sciences, China, Department of Public Policy, Shenzhen Research Insitute, City University of Hong Kong, Shenzhen, China; Zhang, X., Department of Public Policy, Shenzhen Research Insitute, City University of Hong Kong, Shenzhen, China","Zhang, X.; Department of Public Policy, City University of Hong Kong, Tat Chee Avenue, Hong Kong; email: xiaoling.zhang@cityu.edu.hk",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Review,"Final",,Scopus,2-s2.0-85067818661
"Sattarova A.I., Gafarov A.A., Nabiyev R.A.","57211494217;56684845200;56685679300;","Female Muslim Factor in Preservation of Ethnocultural Traditions of the Tatar Society (XIX - XX Centuries)",2019,"Journal of Educational and Social Research","9","4",,"172","178",,,"10.2478/jesr-2019-0067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074906300&doi=10.2478%2fjesr-2019-0067&partnerID=40&md5=043d2d1f9124422e570cf3c445149ea5","Kazan Federal University, Russian Federation","Sattarova, A.I., Kazan Federal University, Russian Federation; Gafarov, A.A., Kazan Federal University, Russian Federation; Nabiyev, R.A., Kazan Federal University, Russian Federation",,,"Sciendo",2239978X,,,,"English","J. Edu. Soc. Res.",Article,"Final",Open Access,Scopus,2-s2.0-85074906300
