algorithm_version,doi,doi_resolver,evidence,free_fulltext_url,is_boai_license,is_free_to_read,is_subscription_journal,license,oa_color,title,url
2,10.1016/j.resconrec.2017.09.014,crossref,open (via crossref license),https://doi.org/10.1016/j.resconrec.2017.09.014,TRUE,TRUE,TRUE,cc-by,bronze,Exploring urban metabolism—Towards an interdisciplinary perspective,https://doi.org/10.1016/j.resconrec.2017.09.014
2,10.1016/j.euroecorev.2017.10.010,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,The made-in effect and leapfrogging: A model of leadership change for products with country-of-origin bias,https://doi.org/10.1016/j.euroecorev.2017.10.010
2,10.1016/j.tra.2017.11.004,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Behavioural effects of a tradable driving credit scheme: Results of an online stated adaptation experiment in the Netherlands,https://doi.org/10.1016/j.tra.2017.11.004
2,10.5198/jtlu.2018.1039,crossref,open (via page says license),https://www.jtlu.org/index.php/jtlu/article/download/1039/1053,FALSE,TRUE,TRUE,cc-by-nc-sa,bronze,Willingness to change car use under a tradable driving credits scheme: A comparison between Beijing and the Netherlands,https://doi.org/10.5198/jtlu.2018.1039
2,10.1016/j.landusepol.2018.07.031,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Screening European market potentials for small modular wastewater treatment systems – an inroad to sustainability transitions in urban water management?,https://doi.org/10.1016/j.landusepol.2018.07.031
1,10.1186/s12889-018-5974-8,crossref,oa journal (via doaj),https://doi.org/10.1186/s12889-018-5974-8,TRUE,TRUE,FALSE,cc-by,gold,Development of the ‘Canteen Scan’: an online tool to monitor implementation of healthy canteen guidelines,https://doi.org/10.1186/s12889-018-5974-8
2,10.1016/j.landurbplan.2018.03.020,crossref,open (via crossref license),https://doi.org/10.1016/j.landurbplan.2018.03.020,TRUE,TRUE,TRUE,cc-by,bronze,Contrasting distributions of urban green infrastructure across social and ethno-racial groups,https://doi.org/10.1016/j.landurbplan.2018.03.020
1,10.1108/sej-01-2018-0007,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Network importance and use: commercial versus social enterprises,https://doi.org/10.1108/sej-01-2018-0007
1,10.1186/s12966-018-0715-z,crossref,oa journal (via doaj),https://doi.org/10.1186/s12966-018-0715-z,TRUE,TRUE,FALSE,cc-by,gold,The role of the natural and built environment in cycling duration in the Netherlands,https://doi.org/10.1186/s12966-018-0715-z
2,10.1515/zfw-2017-0014,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Einfluss von Windenergieanlagen auf die Entwicklung des Tourismus in Hessen,https://doi.org/10.1515/zfw-2017-0014
2,10.1016/j.healthplace.2017.11.006,crossref,open (via crossref license),https://doi.org/10.1016/j.healthplace.2017.11.006,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,Neighbourhood social and physical environment and general practitioner assessed morbidity,https://doi.org/10.1016/j.healthplace.2017.11.006
2,10.1016/j.jag.2017.10.003,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Local modelling of land consumption in Germany with RegioClust,https://doi.org/10.1016/j.jag.2017.10.003
2,10.1016/j.landusepol.2018.01.042,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Editorial: Dynamics of land policies – Triggers and implications,https://doi.org/10.1016/j.landusepol.2018.01.042
2,10.1016/j.envres.2017.11.006,crossref,open (via crossref license),https://doi.org/10.1016/j.envres.2017.11.006,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,Toward dynamic urban environmental exposure assessments in mental health research,https://doi.org/10.1016/j.envres.2017.11.006
2,10.1016/s2542-5196(18)30033-0,crossref,open (via crossref license),https://doi.org/10.1016/s2542-5196(18)30033-0,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,"Natural environments and suicide mortality in the Netherlands: a cross-sectional, ecological study",https://doi.org/10.1016/s2542-5196(18)30033-0
2,10.1016/j.envres.2018.06.010,crossref,oa repository (via OAI-PMH title and first author match),http://arxiv.org/pdf/1805.07395,FALSE,TRUE,TRUE,NA,green,More green space is related to less antidepressant prescription rates in the Netherlands: A Bayesian geoadditive quantile regression approach,https://doi.org/10.1016/j.envres.2018.06.010
1,10.3390/ijerph15102207,crossref,oa journal (via doaj),https://doi.org/10.3390/ijerph15102207,TRUE,TRUE,FALSE,cc-by,gold,Mental Health and Environmental Exposures: An Editorial,https://doi.org/10.3390/ijerph15102207
2,10.1080/14649365.2017.1301541,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Path-dependency in segregation and social networks in the Netherlands,https://doi.org/10.1080/14649365.2017.1301541
1,10.1111/apel.12235,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Industry dynamics in Growth Triangles: the E&E industry in SIJORI 25 years on,https://doi.org/10.1111/apel.12235
2,10.1186/s12889-018-5086-5,crossref,open (via page says license),https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-018-5086-5,TRUE,TRUE,FALSE,cc-by,bronze,Neighborhood-based PA and its environmental correlates: a GIS- and GPS based cross-sectional study in the Netherlands,https://doi.org/10.1186/s12889-018-5086-5
2,10.1080/21931674.2018.1463058,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Introduction transnational education: teaching and learning across borders. An introduction,https://doi.org/10.1080/21931674.2018.1463058
2,10.1111/gcb.14144,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Large uncertainty in carbon uptake potential of land-based climate-change mitigation efforts,https://doi.org/10.1111/gcb.14144
2,10.1186/s12961-018-0333-x,crossref,oa journal (via doaj),https://doi.org/10.1186/s12961-018-0333-x,TRUE,TRUE,FALSE,cc-by,gold,A call for action to establish a research agenda for building a future health workforce in Europe,https://doi.org/10.1186/s12961-018-0333-x
2,10.1016/j.healthpol.2018.07.021,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Primary care workforce development in Europe: an overview of health system responses and stakeholder views,https://doi.org/10.1016/j.healthpol.2018.07.021
2,10.1016/j.habitatint.2018.06.001,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,An institutional and governance approach to understand large-scale social housing construction in China,https://doi.org/10.1016/j.habitatint.2018.06.001
2,10.1111/1468-2427.12646,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"Making the ‘Invisible’ Visible: Redevelopment-induced Displacement of Migrants in Shenzhen, China",https://doi.org/10.1111/1468-2427.12646
2,10.1016/j.jclepro.2016.09.224,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"Towards inclusive and sustainable transformation in Shenzhen: Urban redevelopment, displacement patterns of migrants and policy implications",https://doi.org/10.1016/j.jclepro.2016.09.224
2,10.1080/1369183x.2017.1391078,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"Heterogeneity in displacement exposure of migrants in Shenzhen, China",https://doi.org/10.1080/1369183x.2017.1391078
2,10.1186/s12913-018-2913-4,crossref,open (via page says license),https://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-018-2913-4,TRUE,TRUE,FALSE,cc-by,bronze,The benefits of co-location in primary care practices: the perspectives of general practitioners and patients in 34 countries,https://doi.org/10.1186/s12913-018-2913-4
1,10.3390/su10103605,crossref,oa journal (via doaj),https://doi.org/10.3390/su10103605,TRUE,TRUE,FALSE,cc-by,gold,Roaming through the Maze of Maize in Northern Ghana. A Systems Approach to Explore the Long-Term Effects of a Food Security Intervention,https://doi.org/10.3390/su10103605
2,10.1016/j.healthpol.2018.05.009,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Influence of municipal policy and individual characteristics on the use of informal and formal domestic help in the Netherlands,https://doi.org/10.1016/j.healthpol.2018.05.009
2,10.1111/hsc.12564,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Attractiveness of people-centred and integrated Dutch Home Care: A nationwide survey among nurses,https://doi.org/10.1111/hsc.12564
2,10.1016/s2542-5196(18)30119-0,crossref,open (via crossref license),https://doi.org/10.1016/s2542-5196(18)30119-0,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,"Availability, use of, and satisfaction with green space, and children's mental wellbeing at age 4 years in a multicultural, deprived, urban area: results from the Born in Bradford cohort study",https://doi.org/10.1016/s2542-5196(18)30119-0
2,10.1080/09654313.2018.1424119,crossref,open (via free pdf),https://www.tandfonline.com/doi/pdf/10.1080/09654313.2018.1424119?needAccess=true,FALSE,TRUE,TRUE,NA,bronze,Informal institutional change in De Achterhoek region: from citizen initiatives to participatory governance,https://doi.org/10.1080/09654313.2018.1424119
2,10.1093/icc/dty019,crossref,open (via free pdf),https://doi.org/10.1093/icc/dty019,FALSE,TRUE,TRUE,NA,bronze,OUP accepted manuscript,https://doi.org/10.1093/icc/dty019
2,10.1080/00130095.2017.1391691,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Agents of Structural Change: The Role of Firms and Entrepreneurs in Regional Diversification,https://doi.org/10.1080/00130095.2017.1391691
2,10.1080/08941920.2017.1347971,crossref,open (via free pdf),https://www.tandfonline.com/doi/pdf/10.1080/08941920.2017.1347971?needAccess=true,FALSE,TRUE,TRUE,NA,bronze,Linking Individual and Collective Agency for Enhancing Community Resilience in Northern Ghana,https://doi.org/10.1080/08941920.2017.1347971
2,10.1177/2047487318769458,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Relations between the residential fast-food environment and the individual risk of cardiovascular diseases in The Netherlands: A nationwide follow-up study,https://doi.org/10.1177/2047487318769458
2,10.1186/s12966-018-0687-z,crossref,open (via page says license),https://ijbnpa.biomedcentral.com/track/pdf/10.1186/s12966-018-0687-z,TRUE,TRUE,FALSE,cc-by,bronze,Towards the measurement of food literacy with respect to healthy eating: the development and validation of the self perceived food literacy scale among an adult sample in the Netherlands,https://doi.org/10.1186/s12966-018-0687-z
2,10.1136/jech-2017-210038,crossref,oa repository (via OAI-PMH title and first author match),https://kclpure.kcl.ac.uk/portal/files/86123794/Public_transport_policy_social_REINHARD_Publishedonline19January2018_GREEN_AAM.pdf,FALSE,TRUE,TRUE,NA,green,"Public transport policy, social engagement and mental health in older age: a quasi-experimental evaluation of free bus passes in England",https://doi.org/10.1136/jech-2017-210038
2,10.3197/096327118x15251686827714,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"New Nature in Old Landscapes: Some Dutch Examples of the Relation Between History, Heritage and Ecological Restoration",https://doi.org/10.3197/096327118x15251686827714
2,10.1016/j.healthpol.2017.10.002,crossref,open (via crossref license),https://doi.org/10.1016/j.healthpol.2017.10.002,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,Managing multimorbidity: Profiles of integrated care approaches targeting people with multiple chronic conditions in Europe,https://doi.org/10.1016/j.healthpol.2017.10.002
2,10.1111/disa.12281,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Travelling without a helmet: tourists' vulnerabilities and responses to disasters in Indonesia,https://doi.org/10.1111/disa.12281
2,10.1177/0192513x18783230,crossref,oa repository (via OAI-PMH title and first author match),https://pure.uva.nl/ws/files/29192120/0192513x18783230.pdf,FALSE,TRUE,TRUE,NA,green,Families’ Division of Labor and Social Networks in the 21st Century: Revisiting Elizabeth Bott’s Classic Hypotheses,https://doi.org/10.1177/0192513x18783230
2,10.1111/1475-6773.12754,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,GP Practices as a One-Stop Shop: How Do Patients Perceive the Quality of Care? A Cross-Sectional Study in Thirty-Four Countries,https://doi.org/10.1111/1475-6773.12754
2,10.1080/21931674.2018.1427666,crossref,open (via page says Open Access),https://www.tandfonline.com/doi/pdf/10.1080/21931674.2018.1427666?needAccess=true,FALSE,TRUE,TRUE,implied-oa,bronze,Knowledge (im)mobility through mirco-level interactions: An analysis of the communication process in Chinese-Zambian medical co-operation,https://doi.org/10.1080/21931674.2018.1427666
2,10.1111/dech.12395,crossref,open (via page says license),https://onlinelibrary.wiley.com/doi/pdf/10.1111/dech.12395,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,"The UN World Water Development Report 2016, Water and Jobs : A Critical Review",https://doi.org/10.1111/dech.12395
1,10.3390/su10093123,crossref,oa journal (via doaj),https://doi.org/10.3390/su10093123,TRUE,TRUE,FALSE,cc-by,gold,"Sustainable Urbanization on Occupied Land? The Politics of Infrastructure Development and Resettlement in Beira City, Mozambique",https://doi.org/10.3390/su10093123
2,10.1504/ijstl.2018.088322,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Ships time in port,https://doi.org/10.1504/ijstl.2018.088322
1,10.1111/tesg.12337,crossref,oa repository (via OAI-PMH title and first author match),https://repository.ubn.ru.nl/bitstream/2066/198443/1/198443.pdf,FALSE,TRUE,TRUE,cc-by-nc,green,Ownership and Membership: Practices and Experiences of Neighbourhood Residents in the Wijsgeren Community Garden in Amsterdam,https://doi.org/10.1111/tesg.12337
2,10.1016/j.healthplace.2018.08.002,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"The effect of infrastructural changes in the built environment on physical activity, active transportation and sedentary behavior – A systematic review",https://doi.org/10.1016/j.healthplace.2018.08.002
2,10.3390/su10020530,crossref,open (via page says license),http://www.mdpi.com/2071-1050/10/2/530/pdf,TRUE,TRUE,FALSE,cc-by,bronze,"China’s Confucius Institute in Indonesia: Mobility, Frictions and Local Surprises",https://doi.org/10.3390/su10020530
1,10.5751/es-10486-230426,crossref,oa journal (via doaj),https://doi.org/10.5751/es-10486-230426,FALSE,TRUE,FALSE,cc-by-nc,gold,Failed promises: governance regimes and conflict transformation related to Jatropha cultivation in Ethiopia,https://doi.org/10.5751/es-10486-230426
2,10.1080/17441730.2017.1412593,crossref,open (via free pdf),https://www.tandfonline.com/doi/pdf/10.1080/17441730.2017.1412593?needAccess=true,FALSE,TRUE,TRUE,NA,bronze,"Family caregiving for older adults: gendered roles and caregiver burden in emigrant households of Kerala, India",https://doi.org/10.1080/17441730.2017.1412593
2,10.1016/j.alcr.2018.03.001,crossref,oa repository (via OAI-PMH title and first author match),https://pure.rug.nl/ws/files/55904526/1_s2.0_S104026081830039X_main.pdf,FALSE,TRUE,TRUE,cc-by-nc-nd,green,"Pathways to commitment in living-apart-together relationships in the Netherlands: A study on satisfaction, alternatives, investments and social support",https://doi.org/10.1016/j.alcr.2018.03.001
1,10.1007/s40558-018-0128-5,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Finding patterns in urban tourist behaviour: a social network analysis approach based on TripAdvisor reviews,https://doi.org/10.1007/s40558-018-0128-5
2,10.1177/0042098017700574,crossref,oa repository (via OAI-PMH title and first author match),https://dspace.library.uu.nl/bitstream/1874/363228/1/Africa.pdf,FALSE,TRUE,TRUE,NA,green,Africa’s new cities: The contested future of urbanisation,https://doi.org/10.1177/0042098017700574
2,10.1016/j.landusepol.2017.10.029,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"Active land policy in small municipalities in the Netherlands: “We don’t do it, unless...”",https://doi.org/10.1016/j.landusepol.2017.10.029
2,10.1186/s12913-018-2997-x,crossref,open (via page says license),https://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-018-2997-x,TRUE,TRUE,FALSE,cc-by,bronze,The association between quality system development stage and the implementation of process-level patient safety themes in Dutch hospitals: an observational study,https://doi.org/10.1186/s12913-018-2997-x
2,10.1080/21681376.2018.1455533,crossref,oa journal (via doaj),https://doi.org/10.1080/21681376.2018.1455533,FALSE,TRUE,FALSE,cc-by-nc,gold,Entangled in scales: multilevel governance challenges for regional planning strategies,https://doi.org/10.1080/21681376.2018.1455533
2,10.1016/j.techfore.2018.07.059,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Analysing transition pathways in developing cities: The case of Nairobi's splintered sanitation regime,https://doi.org/10.1016/j.techfore.2018.07.059
2,10.17649/tet.32.2.3021,crossref,oa repository (via OAI-PMH doi match),http://real.mtak.hu/80667/1/divergens.pdf,FALSE,TRUE,TRUE,NA,green,Divergens térfelfogások a tértudományokban – hogyan tovább?,https://doi.org/10.17649/tet.32.2.3021
2,10.1016/j.healthpol.2018.06.012,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Community orientation of general practitioners in 34 countries,https://doi.org/10.1016/j.healthpol.2018.06.012
2,10.1093/icc/dtx023,crossref,open (via free pdf),https://academic.oup.com/icc/article-pdf/27/1/15/23531891/dtx023.pdf,FALSE,TRUE,TRUE,NA,bronze,Resilience in the European Union: the effect of the 2008 crisis on the ability of regions in Europe to develop new industrial specializations,https://doi.org/10.1093/icc/dtx023
2,10.1016/j.jtrangeo.2018.03.015,crossref,open (via crossref license),https://doi.org/10.1016/j.jtrangeo.2018.03.015,FALSE,TRUE,TRUE,cc-by-nc-nd,bronze,Comparing China's urban systems in high-speed railway and airline networks,https://doi.org/10.1016/j.jtrangeo.2018.03.015
1,10.3390/ijerph15122671,crossref,oa journal (via doaj),https://doi.org/10.3390/ijerph15122671,TRUE,TRUE,FALSE,cc-by,gold,"Mental Health among Migrants in Shenzhen, China: Does it Matter Whether the Migrant Population is Identified by Hukou or Birthplace?",https://doi.org/10.3390/ijerph15122671
2,10.1177/2399808317690154,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Demonstration of public participation and communication through social media in the network society within Shanghai,https://doi.org/10.1177/2399808317690154
2,10.1016/j.envint.2018.09.008,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"The impact of social capital, land use, air pollution and noise on individual morbidity in Dutch neighbourhoods",https://doi.org/10.1016/j.envint.2018.09.008
1,10.3390/su10124807,crossref,oa journal (via doaj),https://doi.org/10.3390/su10124807,TRUE,TRUE,FALSE,cc-by,gold,Development at the Crossroads of Capital Flows and Migration: Leaving No One Behind?,https://doi.org/10.3390/su10124807
2,10.1038/s41558-018-0085-1,crossref,oa repository (via OAI-PMH title and first author match),https://cloudfront.escholarship.org/dist/prd/content/qt11h061wn/qt11h061wn.pdf?t=p6mb09,FALSE,TRUE,TRUE,NA,green,Integrating human behaviour dynamics into flood disaster risk assessment,https://doi.org/10.1038/s41558-018-0085-1
1,10.1111/nyas.13917,crossref,open (via crossref license),https://doi.org/10.1111/nyas.13917,FALSE,TRUE,TRUE,cc-by-nc,bronze,Pathways to resilience: adapting to sea level rise in Los Angeles,https://doi.org/10.1111/nyas.13917
2,10.1111/joes.12192,crossref,oa repository (via OAI-PMH title and first author match),https://dspace.library.uu.nl/bitstream/1874/330732/1/15_14.pdf,FALSE,TRUE,TRUE,NA,green,CHILD CARE PRICES AND MATERNAL EMPLOYMENT: A META-ANALYSIS,https://doi.org/10.1111/joes.12192
2,10.1093/wber/lhx021,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,OUP accepted manuscript,https://doi.org/10.1093/wber/lhx021
2,10.1016/j.jbankfin.2018.03.009,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Detecting Abnormal Changes in Credit Default Swap Spreads Using Matching-Portfolio Models,https://doi.org/10.1016/j.jbankfin.2018.03.009
2,10.1177/0149206317729027,crossref,oa repository (via OAI-PMH title and first author match),https://www.rug.nl/research/portal/files/52730657/Cultural_Distance_and_Firm_Internationalization.pdf,FALSE,TRUE,TRUE,NA,green,Cultural Distance and Firm Internationalization: A Meta-Analytical Review and Theoretical Implications,https://doi.org/10.1177/0149206317729027
2,10.1080/00036846.2018.1489503,crossref,oa repository (via OAI-PMH title and first author match),https://dspace.library.uu.nl/bitstream/1874/348627/1/17_01.pdf,FALSE,TRUE,TRUE,NA,green,The effect of financial development on economic growth: a meta-analysis,https://doi.org/10.1080/00036846.2018.1489503
2,10.1016/j.jimonfin.2017.11.011,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Do European banks with a covered bond program issue asset-backed securities for funding?,https://doi.org/10.1016/j.jimonfin.2017.11.011
2,10.1007/s11187-018-0012-x,crossref,open (via page says license),https://link.springer.com/content/pdf/10.1007%2Fs11187-018-0012-x.pdf,TRUE,TRUE,TRUE,cc-by,bronze,"Institutions, entrepreneurship, and economic growth in Europe",https://doi.org/10.1007/s11187-018-0012-x
2,10.1142/s2010007818500021,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,CLIMATE POLICY WITHOUT INTERTEMPORAL DICTATORSHIP: CHICHILNISKY CRITERION VERSUS CLASSICAL UTILITARIANISM IN DICE,https://doi.org/10.1142/s2010007818500021
2,10.1080/1943815x.2018.1441158,crossref,open (via page says Open Access),https://www.tandfonline.com/doi/pdf/10.1080/1943815X.2018.1441158?needAccess=true,FALSE,TRUE,TRUE,implied-oa,bronze,Geographical scoping and willingness-to-pay for nature protection,https://doi.org/10.1080/1943815x.2018.1441158
1,10.1215/00182702-7033956,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"Models, Measurement, and “Universal Patterns”",https://doi.org/10.1215/00182702-7033956
2,10.1111/risa.12938,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Insights into Flood-Coping Appraisals of Protection Motivation Theory: Empirical Evidence from Germany and France,https://doi.org/10.1111/risa.12938
2,10.1016/j.respol.2018.01.015,crossref,oa repository (via OAI-PMH title and first author match),https://dspace.library.uu.nl/bitstream/1874/362845/3/Buenstorf_Costa_ResPol_2018_Online_first.pdf,FALSE,TRUE,TRUE,NA,green,Drivers of spin-off performance in industry clusters: Embodied knowledge or embedded firms?,https://doi.org/10.1016/j.respol.2018.01.015
2,10.1093/oxrep/gry003,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,OUP accepted manuscript,https://doi.org/10.1093/oxrep/gry003
2,10.1017/beq.2017.46,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Which Firms Get Punished for Unethical Behavior? Explaining Variation in Stock Market Reactions to Corporate Misconduct,https://doi.org/10.1017/beq.2017.46
2,10.5465/amp.2016.0058,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Business Groups reconsidered: beyond paragons and parasites,https://doi.org/10.5465/amp.2016.0058
2,10.1016/j.ijdrr.2018.01.001,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,A global review of the impact of basis risk on the functioning of and demand for index insurance,https://doi.org/10.1016/j.ijdrr.2018.01.001
2,10.1007/s11187-018-0005-9,crossref,open (via page says license),https://link.springer.com/content/pdf/10.1007%2Fs11187-018-0005-9.pdf,TRUE,TRUE,TRUE,cc-by,bronze,"Taxes, start-up costs, and innovative entrepreneurship",https://doi.org/10.1007/s11187-018-0005-9
2,10.1016/j.respol.2018.01.004,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,First adoption of consumer innovations: Exploring market failure and alleviating factors,https://doi.org/10.1016/j.respol.2018.01.004
2,10.1016/j.indmarman.2018.01.008,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,"Free in, free out? Outbound transfer of user innovations in small UK firms",https://doi.org/10.1016/j.indmarman.2018.01.008
2,10.1057/s41288-018-0082-7,crossref,NA,NA,FALSE,FALSE,TRUE,NA,NA,Perceptions of Corporate Cyber Risks and Insurance Decision-Making,https://doi.org/10.1057/s41288-018-0082-7
1,10.5194/hess-22-5629-2018,crossref,oa journal (via doaj),https://doi.org/10.5194/hess-22-5629-2018,TRUE,TRUE,FALSE,cc-by,gold,Hess Opinions: An interdisciplinary research agenda to explore the unintended consequences of structural flood protection,https://doi.org/10.5194/hess-22-5629-2018
