PT;AU;BA;BE;GP;AF;BF;CA;TI;SO;SE;BS;LA;DT;CT;CY;CL;SP;HO;DE;ID;AB;C1;RP;RI;OI;FU;FX;CR;NR;TC;Z9;U1;U2;PU;PI;PA;SN;EI;BN;J9;JI;PD;PY;VL;IS;PN;SU;SI;MA;BP;EP;AR;DI;D2;EA;PG;WC;SC;GA;UT;PM;OA;HC;HP;DA
J;"Dominguez, C; Di Rosario, G; Ciastellardi, M";;;;"Dominguez, Cesar; Di Rosario, Giovanna; Ciastellardi, Matteo";;;On Writing a Comparative Literary History: Delocalizing Minor Literatures in European Languages in the Age of 'Big Data';ARCADIA;;;English;Article;;;;;;"bibliometrics; big data; comparative literary history; digital humanities; minor literature";DIGITAL HUMANITIES;Minor literature is an elusive concept in literary scholarship. Its widespread use stands in sharp contrast to the paucity of its theoretical development, which is limited to Gilles Deleuze and Felix Guattari's 1975 seminal book Kafka. Pour une litterature mineure. We claim that a comparative history of minor literatures in European languages - a nonexistent project so far - requires three preliminary steps, namely, conceptual clarification, cross-pollination between comparative literary history and the digital humanities, and a bibliometric analysis of the minor-literature constellation. First, conceptual clarification is needed to show, on the one hand, how Deleuze and Guattari's arguments on minor literatures significantly differ from those of what they posit as their source (Kafka's discussion on kleine Literaturen) and, on the other hand, the existence of alternative genealogies. Second, by adhering to a Braudelian definition of comparative history, the massive data needed for addressing the production and reception of (minor) literatures in specific social and cultural contexts would immensely benefit from recourse to digital tools. Third, and as an example of approaching conceptual clarification with digital tools, a quantitative study of the minorliterature constellation must be performed using a key tool of international scholarship (the MLA International Bibliography). In the current paper, we may only provide an introductory survey of these three fields and, therefore, the results are tentative and further research is needed.;"[Dominguez, Cesar] Univ Santiago de Compostela, Fac Philol, Burgo Nat S-N, Santiago De Compostela 15782, A Coruna, Spain; [Di Rosario, Giovanna; Ciastellardi, Matteo] Politecn Milan, Dept Design, Bldg 67,Via Durando 38-A, I-20158 Milan, Italy";Dominguez, C (reprint author), Univ Santiago de Compostela, Fac Philol, Burgo Nat S-N, Santiago De Compostela 15782, A Coruna, Spain.;;;;;;67;0;0;1;7;WALTER DE GRUYTER GMBH;BERLIN;GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY;0003-7982;1613-0642;;ARCADIA;Arcadia;NOV;2018;53;2;;;;;278;307;;10.1515/arcadia-2018-0028;;;30;Literature;Literature;GZ4DA;WOS:000449341900005;;;;;07/02/2020
J;Burman, JT;;;;Burman, Jeremy Trevelyan;;;Digital Methods Can Help You ... If You're Careful, Critical, and Not Historiographically Naive;HISTORY OF PSYCHOLOGY;;;English;Editorial Material;;;;;;"digital history; digital humanities; historiography; graduate students";PSYCHOLOGY;"This special section on the digital history of psychology includes target articles by Ivan Flis and Nees Jan van Eck and Jeremy Trevelyan Burman, with comments by Melinda Baldwin, Ted Porter, and Chris Green. In his introduction to the section, Burman explains his original motivation in turning to tools borrowed from the digital humanities: helping graduate students to identify dissertation topics more easily, and thereby reduce completion times for the doctorate, while at the same time doing ""good history."" Since then, a new field-digital history of psychology-has blossomed. John Burnham, especially, is recognized here as an important interlocutor.";[Burman, Jeremy Trevelyan] Univ Groningen, Groningen, Netherlands;Burman, JT (reprint author), Univ Groningen, Fac Behav & Social Sci, Heymans Inst Psychol Res, Dept Theory & Hist Psychol, Grote Kruisstr 2-1, NL-9712 TS Groningen, Netherlands.;;;;;;25;0;0;0;4;EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC;WASHINGTON;750 FIRST ST, NE, WASHINGTON, DC 20002-4242 USA;1093-4510;1939-0610;;HIST PSYCHOL;Hist. Psychol.;NOV;2018;21;4;;;;;297;301;;10.1037/hop0000112;;;5;"History Of Social Sciences; Psychology, Multidisciplinary";"Social Sciences - Other Topics; Psychology";GZ7LT;WOS:000449661900001;30421946;;;;07/02/2020
J;Porter, TM;;;;Porter, Theodore M.;;;Digital Humanism;HISTORY OF PSYCHOLOGY;;;English;Editorial Material;;;;;;"digital humanities; standardization; statistical significance; Big Data";;Much history of psychology presumes a discordance between its humanistic methods and the focus on rigorous statistical reasoning that is typical of the field it studies. However, the conditions of abundant data typical of digital humanities tend to relax the constraints of tests of significance and to allow greater freedom to try out alternative interpretations within the frame of a single study. At the same time, the elusiveness of rigorous standardization within a very large database, especially if it stretches over wide spaces or many decades, may be seen to demand meticulous source criticism of a sort that has more often been associated with the humanities than with quantitative science. There is even a tendency for the data itself to drift away from its usual function as a means of research and to become itself an object of study, inspiring reflection on how the tools and concepts of a field like psychology may be evolving in response to new constraints or ambitions.;[Porter, Theodore M.] Univ Calif Los Angeles, Los Angeles, CA 90095 USA;Porter, TM (reprint author), Univ Calif Los Angeles, Dept Hist, Box 951473,6265 Bunche Hall, Los Angeles, CA 90095 USA.;;;;;;11;1;1;3;4;EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC;WASHINGTON;750 FIRST ST, NE, WASHINGTON, DC 20002-4242 USA;1093-4510;1939-0610;;HIST PSYCHOL;Hist. Psychol.;NOV;2018;21;4;;;;;369;373;;10.1037/hop0000107;;;5;"History Of Social Sciences; Psychology, Multidisciplinary";"Social Sciences - Other Topics; Psychology";GZ7LT;WOS:000449661900005;30421948;;;;07/02/2020
J;Green, CD;;;;Green, Christopher D.;;;Digital History of Psychology Takes Flight;HISTORY OF PSYCHOLOGY;;;English;Article;;;;;;"academic disciplines; digital history; digital humanities; history of psychology; psychology";;"The articles authored by Flis and van Eck (2018) and by Burman (2018) serve as fine examples of the ways in which digital historical methods can illuminate aspects of psychology's past that would probably not be possible otherwise. This success, however, presents no reason to think that digital history is some kind of threat to conventional historiography or that former aims to replace the latter. The two can work complementarily-so closely, in fact, that it sometimes becomes difficult to know which of the two one is practicing at any given moment. Multiple skill sets need not define the historian as being a particular ""kind"": They just enable any historian to do his or her work more completely than before.";[Green, Christopher D.] York Univ, Toronto, ON, Canada;Green, CD (reprint author), York Univ, Dept Psychol, Toronto, ON M3J 1P3, Canada.;;;Social Science and Humanities Research Council of Canada;I gratefully acknowledge the financial support of the Social Science and Humanities Research Council of Canada for this work.;;11;1;1;3;5;EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC;WASHINGTON;750 FIRST ST, NE, WASHINGTON, DC 20002-4242 USA;1093-4510;1939-0610;;HIST PSYCHOL;Hist. Psychol.;NOV;2018;21;4;;;;;374;379;;10.1037/hop0000093;;;6;"History Of Social Sciences; Psychology, Multidisciplinary";"Social Sciences - Other Topics; Psychology";GZ7LT;WOS:000449661900006;30421949;;;;07/02/2020
J;Flis, I;;;;Flis, Ivan;;;Digital Humanities as the Historian's Trojan Horse: Response to Commentary in the Special Section on Digital History;HISTORY OF PSYCHOLOGY;;;English;Editorial Material;;;;;;"digital history; digital humanities; history of psychology";;"The commentaries by Baldwin (2018), Green (2018), and Porter (2018) on the 2 articles (Burman, 2018; Flis & Van Eck, 2018) in this special section provide a unique perspective on digital humanities approaches to history of psychology. Each of the commentators approached the topic through their own lens-Melinda Baldwin as a historian of scientific journals, Christopher Green as a pioneer in digital history of psychology, and Ted Porter as a historian of quantification. In my response, I tried to reply to the 3 comments by critically discussing 4 themes the special section has raised: the relationship between digital history and conventional history, the perspective that takes databases as both sources for historians and objects in history, the relationship between ""thick descriptions"" and ""thin"" digital ones, and finally, the role of digital history as a type of a ""trading creole"" between scientists working in quantified disciplines like scientific psychology and less quantified ones like history. I think the commentators have rightly observed some pitfalls in the uncritical application of digital history. On the other hand, in my response, I argue that the careful use of digital methods, where the user stays in communication with nondigital historians, opens new perspectives for historians of science, historians of psychology, and psychologists themselves. Digital methods are not there to supplant historicist work but to add to it and translate it to new audiences.";[Flis, Ivan] Univ Utrecht, Utrecht, Netherlands;Flis, I (reprint author), Univ Utrecht, Descartes Ctr, Princentonpl 5, NL-3584 CC Utrecht, Netherlands.;;Flis, Ivan/0000-0002-0493-8026;;;;10;0;0;4;8;EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC;WASHINGTON;750 FIRST ST, NE, WASHINGTON, DC 20002-4242 USA;1093-4510;1939-0610;;HIST PSYCHOL;Hist. Psychol.;NOV;2018;21;4;;;;;380;383;;10.1037/hop0000113;;;4;"History Of Social Sciences; Psychology, Multidisciplinary";"Social Sciences - Other Topics; Psychology";GZ7LT;WOS:000449661900007;30421950;;;;07/02/2020
J;"Prasad, A; Kaur, M; Kan, MY";;;;"Prasad, Animesh; Kaur, Manpreet; Kan, Min-Yen";;;Neural ParsCit: a deep learning-based reference string parser;INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES;;;English;Article;;;;;;"Reference string parsing; Sequence labeling; CRF; LSTM";;We present a deep learning approach for the core digital libraries task of parsing bibliographic reference strings. We deploy the state-of-the-art long short-term memory (LSTM) neural network architecture, a variant of a recurrent neural network to capture long-range dependencies in reference strings. We explore word embeddings and character-based word embeddings as an alternative to handcrafted features. We incrementally experiment with features, architectural configurations, and the diversity of the dataset. Our final model is an LSTM-based architecture, which layers a linear chain conditional random field (CRF) over the LSTM output. In extensive experiments in both English in-domain (computer science) and out-of-domain (humanities) test cases, as well as multilingual data, our results show a significant gain over the reported state-of-the-art CRF-only-based parser.;"[Prasad, Animesh; Kaur, Manpreet; Kan, Min-Yen] Natl Univ Singapore, Sch Comp, Comp 1,13 Comp Dr, Singapore 11741, Singapore";Prasad, A (reprint author), Natl Univ Singapore, Sch Comp, Comp 1,13 Comp Dr, Singapore 11741, Singapore.;;Prasad, Animesh/0000-0002-9865-6993;"National Research Foundation, Prime Minister's Office, Singapore under IRC @ SGFundingInitiative; NExT research grant funds";We would like to acknowledge the support of the NExT research grant funds, supported by the National Research Foundation, Prime Minister's Office, Singapore, under its IRC @ SGFundingInitiative.We would also like to gratefully acknowledge the support of NVIDIA Corporation with the donation of the GeForce GTX Titan X GPU used for this research. We also acknowledge Muthu Kumar Chandrasekaran for insightful feedback on data handling and editing, along with Kishaloy Halder and Wenqiang Lei for their help in the ongoing integration with the current ParsCit pipeline.;;27;0;0;0;0;SPRINGER;NEW YORK;233 SPRING ST, NEW YORK, NY 10013 USA;1432-5012;1432-1300;;INT J DIGIT LIBRARIE;Int. J. Digit. Llibraries;NOV;2018;19;4;;;;;323;337;;10.1007/s00799-018-0242-1;;;15;Information Science & Library Science;Information Science & Library Science;GY3WB;WOS:000448486200001;;;;;07/02/2020
J;Phillips, P;;;;Phillips, Peter;;;The pixelated text: Reading the Bible within digital culture;THEOLOGY;;;English;Article;;;;;;"Bible; biblical literacy; digital; digital humanities; media";;This article looks at Bible engagement in a digital age, focusing both on multimedia engagement with the Bible through the ages and on the changes that new technologies bring to the reading process, and asking some questions about our use of different technologies for different tasks. The article opens up the new possibilities afforded to scholars through the digitization of manuscripts and libraries, but also looks at the limitations of digital Bibles in their current forms. What new areas of research do the digital humanities open up for us?;[Phillips, Peter] Univ Durham, CODEC Res Ctr, Durham, England;Phillips, P (reprint author), Univ Durham, CODEC Res Ctr, Durham, England.;;;;;;34;2;2;3;14;SAGE PUBLICATIONS LTD;LONDON;1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND;0040-571X;2044-2696;;THEOLOGY;Theology;NOV-DEC;2018;121;6;;;;;403;412;;10.1177/0040571X18794139;;;10;Religion;Religion;GV7XH;WOS:000446347000002;;Green Accepted;;;07/02/2020
J;Menadue, CB;;;;Menadue, Christopher Benjamin;;;Hubbard Bubble, Dianetics Trouble: An Evaluation of the Representations of Dianetics and Scientology in Science Fiction Magazines From 1949 to 1999;SAGE OPEN;;;English;Article;;;;;;"science fiction; scientology; dianetics; religion; cult; digital humanities; advertising; magazines";;"Dianetics was unveiled to the public in the May 1950 edition of Astounding Science Fiction. Dianetics was the brainchild of science fiction author L. Ron Hubbard, and became the foundation for scientology toward the end of the decade. Dianetics was marketed as a ""scientific"" method for mental improvement-a robust alternative to conventional psychiatry-and was strongly debated in science fiction (sf) magazines. This article follows the trajectory of this cultural phenomenon from 1949 to 1999 as it appeared in this form of popular culture. A proximal reading method was applied to analyze 4,431 magazines, and identified 389 references to dianetics and scientology. References were found in advertising, reader letters, stories, feature articles, and editorials. Significant fluctuations in the prominence and perception of dianetics became clearly visible in the source material across a broad spectrum of content. Negative criticism was present from the outset, and based on logical and scientific arguments. This was countered by obfuscation, or attacks on the authors of these critiques. The followers and promoters of dianetics did not provide scientifically rigorous proof of their claims, and by the mid-1980s, dianetics and scientology were no longer serious topics in the magazines but had been added to other fads and fallacies of sf history. This article demonstrates the effectiveness of a digital humanities proximal reading method to underpin objective classification and analysis of this culturally significant phenomenon.";[Menadue, Christopher Benjamin] James Cook Univ, Cairns, Qld, Australia;Menadue, CB (reprint author), James Cook Univ, Cairns Inst, Cairns, Qld 4870, Australia.;Menadue, Christopher B./X-4110-2019;Menadue, Christopher B./0000-0003-4794-8280;Australian Research Training Program Award;The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: The author is the recipient of an Australian Research Training Program Award for his research.;;199;0;0;0;1;SAGE PUBLICATIONS INC;THOUSAND OAKS;2455 TELLER RD, THOUSAND OAKS, CA 91320 USA;2158-2440;;;SAGE OPEN;SAGE Open;Oct-17;2018;8;4;;;;;;;2,15824E+15;10.1177/2158244018807572;;;19;Social Sciences, Interdisciplinary;Social Sciences - Other Topics;GX5ML;WOS:000447792100001;;DOAJ Gold;;;07/02/2020
J;"Tornabene, L; Nowak, AV; Vogelsang, L";;;;"Tornabene, Ladona; Nowak, Amy Versnik; Vogelsang, Lisa";;;Visual power: review of image-based methodologies and subsequent development/uses of the Fotofeedback Method (TM);VISUAL STUDIES;;;English;Review;;;;;;;"PHOTOGRAPHY; EMPOWERMENT";Over the past 60 years, image-based methodologies such as photo elicitation, photolanguage, auto-photography, hermeneutic photography, digital storytelling, photovoice and participant authored audio-visual stories have been used by qualitative researchers to better cognise humanity. Each of these methodologies are deeply rooted in visual imagery and while they may share different levels of similarities, each was coined because no existing method fully met the needs of the researchers or participants. For this same reason, a new image-based methodology, the Fotofeedback Method (TM) (FFM) has emerged. FFM is defined as a qualitative image-based methodology that combines participant-initiated photography with written narrative in response to a research/evaluation inquiry. This article presents an overview of FFM's formation along with examples of its use and subsequent outcomes. The aforementioned image-based methodologies are reviewed including their definition, founder, year conceptualised, discipline and location of origin, brief history, impact of use, key point and their similarities/differences to the FFM. Also presented is a comparison chart of the methodologies covered in this paper as well as a timeline of photo-based research techniques in relation to the historical development of photography, computers and social media. Current statistics regarding the power of the visual to engage others are also incorporated.;"[Tornabene, Ladona; Nowak, Amy Versnik; Vogelsang, Lisa] Univ Minnesota Duluth, Publ Hlth Educ & Promot, Duluth, MN 55812 USA";Tornabene, L (reprint author), Univ Minnesota Duluth, Publ Hlth Educ & Promot, Duluth, MN 55812 USA.;;Versnik Nowak, Amy L./0000-0001-7138-3449;;;;57;1;1;1;1;TAYLOR & FRANCIS LTD;ABINGDON;2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND;1472-586X;1472-5878;;VISUAL STUD;Vis. Stud.;Oct-02;2018;33;4;;;;;357;373;;10.1080/1472586X.2019.1589387;;;17;Humanities, Multidisciplinary;Arts & Humanities - Other Topics;HY0QU;WOS:000467817800005;;;;;07/02/2020
J;"Rodriguez-Resendiz, PO; Simonnot, J; Martinez, DCA";;;;"Olivia Rodriguez-Resendiz, Perla; Simonnot, Josephine; Abad Martinez, Dafne Citlalli";;;Open source content managment for digital sound archives that preserve research materials;INVESTIGACION BIBLIOTECOLOGICA;;;Spanish;Article;;;;;;"Digital Archive; Digital Preservation; Sound Archive";CONTENT MANAGEMENT;Institutes and research centers, through research projects in social sciences and humanities, generate a large number of digital sound documents. The accretion of these digital documents come with high risk of loss because of a lack of preservation tools. This paper describes the scope and functionalities of the Telemeta content manager as an alternative for preservation of sound files.;"[Olivia Rodriguez-Resendiz, Perla; Abad Martinez, Dafne Citlalli] Univ Nacl Autonoma Mexico, Inst Invest Bibliotecol & Informac, Mexico City, DF, Mexico; [Simonnot, Josephine] Ctr Rech Ethnomusicol, Paris, France";Rodriguez-Resendiz, PO (reprint author), Univ Nacl Autonoma Mexico, Inst Invest Bibliotecol & Informac, Mexico City, DF, Mexico.;;;;;;30;0;0;2;2;UNIV NACIONAL AUTONOMA MEXICO;MEXICO CITY;CIUDAD UNIV, CENTRO UNIV BIBLIOTECOLOGICAS, TORRE II HUMANIDADES, PISO 11, 12 & 13, MEXICO CITY, CP 04510, MEXICO;0187-358X;;;INVESTIG BIBLIOTECOL;Investig. Bibliotecol.;OCT-DEC;2018;32;77;;;;;101;115;;10.22201/iibi.24488321xe.2018.77.58005;;;15;Information Science & Library Science;Information Science & Library Science;HQ3IK;WOS:000462304400010;;DOAJ Gold;;;07/02/2020
J;"Blomgren, C; MacPherson, I";;;;"Blomgren, Constance; MacPherson, Iain";;;Scoping the nascent: An analysis of K-12 OER research 2012-2017;OPEN PRAXIS;;;English;Article;;;;;;"K-12; OER; open education; open educational practice; open pedagogy; literature analysis";"OPEN EDUCATIONAL RESOURCES; OPEN TEXTBOOKS; KHAN ACADEMY; HIGH-SCHOOL; SCIENCE; QUALITY; TECHNOLOGY; IMPACT; CHALLENGES; TEACHERS";Awareness and use of Open Educational Resources (OER) has grown at all levels of education. Higher education researchers actively study OER but K-12 OER research indicates limited published results. To address this gap, this study examined articles meeting defined criteria and analyzed the results. Findings include cohesion of author-supplied keywords and ten primary categories of focus. From 38 articles studied, a variety of research methods were represented. Analysis showed Professional and Applied Sciences were overwhelmingly represented with the majority of articles within the discipline of Education and its fields with Humanities a distant second category of publication. The equal distribution between open and closed access journals may reflect changes to past scholarly publication practices. Citation analysis revealed divergences and reinforces the nascent quality of this topic. Future K-12 OER research that studies the complex change from resource scarcity to resource flexibility and digital abundance is needed.;"[Blomgren, Constance] Athabasca Univ, Athabasca, AB, Canada; [MacPherson, Iain] E Learning Consultants, Ottawa, ON, Canada";Blomgren, C (reprint author), Athabasca Univ, Athabasca, AB, Canada.;;;;;;70;1;1;2;6;INT COUNCIL OPEN & DISTANCE EDUCATION;OSLO;LILLEAKERVEIEN 23, OSLO, 0283, NORWAY;2304-070X;;;OPEN PRAX;Open Prax.;OCT-DEC;2018;10;4;;;;;359;375;;10.5944/openpraxis.10.4.905;;;17;Education & Educational Research;Education & Educational Research;HI2RV;WOS:000456294000005;;DOAJ Gold;;;07/02/2020
J;"Krawatzek, F; Sasse, G";;;;"Krawatzek, Felix; Sasse, Gwendolyn";;;Integration and Identities: The Effects of Time, Migrant Networks, and Political Crises on Germans in the United States;COMPARATIVE STUDIES IN SOCIETY AND HISTORY;;;English;Article;;;;;;"transatlantic migration; integration; migrant networks; migrant identities; transnationalism; migrant letters; qualitative text analysis; digital humanities";"INTERNATIONAL MIGRATION; IMMIGRANT INCORPORATION; ASSIMILATION; EXPERIENCE; EUROPE; TRANSNATIONALISM; PARTICIPATION; 19TH-CENTURY; PATTERNS; LANGUAGE";"This article offers the first large-scale analysis of the interlinked dynamics of integration and belonging based on perceptions of ""ordinary"" German-speaking migrants in the United States in the nineteenth and twentieth centuries. Our analysis draws on a corpus of over a thousand letters from the North American Letter Collection held at the Forschungsbibliothek Gotha in Germany. Through computer-assisted text analysis, framed by research on transnationalism and immigrant integration, we explore patterns in integration and identities over time. We show how the migrants continuously redefine their identities vis-a-vis their homeland and the host society, and their letters thereby shape the image of the United States and the homeland for their recipients. Our analysis establishes more comprehensively than have previous historical and social science studies that integration into a host society is a non-linear process. Immigrant identities are influenced less by the time they have spent in the receiving country than by critical political events that affect both the country of origin and that of destination. Such events can reactivate migrant's identifications with their homeland. Immigrant networks filter this dual process in that they can facilitate migrants' integration while also reminding them of people and places left behind.";"[Krawatzek, Felix; Sasse, Gwendolyn] Univ Oxford, Dept Polit, Oxford, England; [Krawatzek, Felix; Sasse, Gwendolyn] Univ Oxford, Nuffield Coll, Oxford, England";"Krawatzek, F (reprint author), Univ Oxford, Dept Polit, Oxford, England.; Krawatzek, F (reprint author), Univ Oxford, Nuffield Coll, Oxford, England.";;"Krawatzek, Felix/0000-0002-1108-6087; Sasse, Gwendolyn/0000-0001-6254-3949";"Large Leverhulme Trust Grant ""Political Remittances: Understanding the Political Impacts of Migration"" [M3RVQL00]; Small Award from the John Fell Fund/Oxford University Press Research Fund [143/003]";"The authors are grateful for research assistance provided by Christian Fastenrath. The article is based on research facilitated by the Large Leverhulme Trust Grant ""Political Remittances: Understanding the Political Impacts of Migration"" (M3RVQL00), and a Small Award from the John Fell Fund/Oxford University Press Research Fund (143/003).";;96;1;1;1;13;CAMBRIDGE UNIV PRESS;NEW YORK;32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA;0010-4175;1475-2999;;COMP STUD SOC HIST;Comp. Stud. Soc. Hist.;OCT;2018;60;4;;;;;1029;1065;;10.1017/S0010417518000373;;;37;"Anthropology; History; Sociology";"Anthropology; History; Sociology";GV9HP;WOS:000446467000011;;;;;07/02/2020
J;Brennan, C;;;;Brennan, Claire;;;Digital humanities, digital methods, digital history, and digital outputs: History writing and the digital revolution;HISTORY COMPASS;;;English;Article;;;;;;;"PRESERVATION; DIGITIZATION; INFORMATION; HERITAGE; ARCHIVE; FUTURE";While the term digital humanities appears inclusive, its exact meaning remains unclear and its early association with studies in English Literature means the term has already been partially superceded by digital methods. However, that renaming is problematic as it emphasises the research tools used while the field itself is adjusting to include new methods, new topics, and new types of production, not just new ways of working with existing materials. Historians have long been alert to new tools as they become available to researchers. However, even as historians have revelled in the increased access to primary sources provided by digitisation and have analysed the opportunities that access offers, they have been aware of the unevenness of the digitisation process and the gaps it both creates and disguises. Issues of copyright and the ethics of creating public access to private lives have also caused historians concern. More recently, discussion about the evaluation of digital scholarship has begun. Often purely digital outputs are not formally recognised by their authors' institutions, despite having a significant online presence and contributing to scholarship. In parallel with being concerned about fairly assessing the work of peers, historians have also begun to consider how to teach (and assess) the digital skills now expected of history graduates.;[Brennan, Claire] James Cook Univ, Townsville, Qld, Australia;Brennan, C (reprint author), James Cook Univ, Townsville, Qld, Australia.;Brennan, Claire/G-4393-2016;Brennan, Claire/0000-0002-7593-7522;;;;59;0;0;3;20;WILEY;HOBOKEN;111 RIVER ST, HOBOKEN 07030-5774, NJ USA;1478-0542;;;HISTORY COMPASS;History Compass;OCT;2018;16;10;;;;;;;e12492;10.1111/hic3.12492;;;12;History;History;GW3TR;WOS:000446831400009;;;;;07/02/2020
J;"Taylor, JE; Gregory, IN; Donaldson, C";;;;"Taylor, Joanna E.; Gregory, Ian N.; Donaldson, Christopher";;;COMBINING CLOSE AND DISTANT READING: A MULTISCALAR ANALYSIS OF THE ENGLISH LAKE DISTRICT'S HISTORICAL SOUNDSCAPE;INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING-A JOURNAL OF DIGITAL HUMANITIES;;;English;Article;;;;;;"sound; Lake District; close reading; distant reading; multiscalar analysis; spatial humanities";;This article joins calls for literary scholarship to move beyond the limitations of binary oppositions between 'close' and 'distant' reading and towards the development of approaches that exploit the macroanalytic potential of digital methods alongside the nuanced analysis that characterises literary scholarship. Drawing on a customised corpus of writing about the English Lake District, we model the application of a multiscalar approach known as geographical text analysis (GTA), which combines aspects of close reading and distant reading, and, in doing so, introduces a new method for literary research. Here, we focus on historical descriptions of the Lake District's soundscape to demonstrate both how perceptions of sound changed over the course of the eighteenth and nineteenth centuries, and how multi-scalar methods can uniquely uncover such historical-literary shifts. Sound, we argue, offers a particularly useful focus since it allows us to draw fruitful parallels between our methods and those applied by the writers we study. In this way, this article advocates for digital humanities scholarship that advances our disciplines in conversation with appropriate historical modes.;"[Taylor, Joanna E.] Univ Manchester, Digital Humanities, Manchester, Lancs, England; [Gregory, Ian N.] Univ Lancaster, Dept Hist, Digital Humanities, Lancaster, England; [Donaldson, Christopher] Univ Lancaster, Cultural Hist, Lancaster, England";Taylor, JE (reprint author), Univ Manchester, Digital Humanities, Manchester, Lancs, England.;;"Donaldson, Christopher/0000-0002-2924-3001; Gregory, Ian/0000-0001-8745-2242; Taylor, Joanna Elizabeth/0000-0001-8597-0097";Leverhulme TrustLeverhulme Trust [RPG-2015-230];Research for this article was carried out as part of the project Geospatial Innovations in the Digital Humanities: A Deep Map of the English Lake District, funded by the Leverhulme Trust (RPG-2015-230). The authors would like to thank audiences at the British Association for Romantic Studies PG and ECR Conference (University of Oxford, 2016) and the Spatial Humanities conference (Lancaster University, 2016) for their helpful comments and insights into earlier versions of this article.;;45;2;2;2;6;EDINBURGH UNIV PRESS;EDINBURGH;THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH EH8 8PJ, SCOTLAND;1753-8548;1755-1706;;INT J HUMANIT ARTS C;Int. J. Humanit. Arts Comput.;OCT;2018;12;2;;;SI;;163;182;;10.3366/ijhac.2018.0220;;;20;"Humanities, Multidisciplinary; Computer Science, Interdisciplinary Applications";"Arts & Humanities - Other Topics; Computer Science";GX6BL;WOS:000447841600006;;;;;07/02/2020
J;"Porter, C; Atkinson, P; Gregory, IN";;;;"Porter, Catherine; Atkinson, Paul; Gregory, Ian N.";;;SPACE AND TIME IN 100 MILLION WORDS: HEALTH AND DISEASE IN A NINETEENTH-CENTURY NEWSPAPER;INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING-A JOURNAL OF DIGITAL HUMANITIES;;;English;Article;;;;;;"spatial humanities; GIS; nineteenth-century; health; geographical text analysis";"CRITICAL DISCOURSE ANALYSIS; CORPUS LINGUISTICS; MORTALITY; ENGLAND";"The abundance of information contained in nineteenth-century texts means the traditional 'close reading' of Victorian culture has limitations. With the burgeoning availability of newspapers in digital format, there is a pressing need to look at how we might effectively and efficiently use these digital resources to help answer research questions and add to key historical and geographical debates. Focusing on the analysis of a large digital corpus, this paper has two key foci: (I) to apply an innovative digital methodology, that combines corpus linguistics and geospatial technologies, to a very large corpus of newspaper texts and; (II) apply said methodology to a case study assessing the presentation of health and disease in a nineteenth-century newspaper. The paper illustrates that by linking existing techniques with new and innovative approaches it is possible to temporally and spatially analyse and map themes of interest in large digital corpora on a scale not possible through more traditional close reading methods.";"[Porter, Catherine] Queens Univ Belfast, Sch Nat & Built Environm, Belfast, Antrim, North Ireland; [Atkinson, Paul] Univ Liverpool, Dept Hlth & Policy, Liverpool, Merseyside, England; [Gregory, Ian N.] Univ Lancaster, Digital Humanities, Dept Hist, Lancaster, England; [Gregory, Ian N.] Univ Lancaster, Digital Humanities Hub, Lancaster, England";Porter, C (reprint author), Queens Univ Belfast, Sch Nat & Built Environm, Belfast, Antrim, North Ireland.;;"Gregory, Ian/0000-0001-8745-2242; Porter, Catherine/0000-0002-4541-064X";European Research Council (ERC) under the European UnionEuropean Research Council (ERC) [283850];This research has been funded by the European Research Council (ERC) under the European Union's Seventh Framework Programme (FP7/2007-2013)/ERC grant 'Spatial Humanities: Texts, GIS, places' (agreement number 283850).;;48;0;0;0;1;EDINBURGH UNIV PRESS;EDINBURGH;THE TUN-HOLYROOD RD, 12 2F JACKSONS ENTRY, EDINBURGH EH8 8PJ, SCOTLAND;1753-8548;1755-1706;;INT J HUMANIT ARTS C;Int. J. Humanit. Arts Comput.;OCT;2018;12;2;;;SI;;196;216;;10.3366/ijhac.2018.0222;;;21;"Humanities, Multidisciplinary; Computer Science, Interdisciplinary Applications";"Arts & Humanities - Other Topics; Computer Science";GX6BL;WOS:000447841600008;;Green Published;;;07/02/2020
